Temps;Canal A
(us);(V)

-25,02156531;0,19867550
-25,01156531;0,19867550
-25,00156531;0,21704760
-24,99156531;0,21704760
-24,98156531;0,21704760
-24,97156531;0,23541980
-24,96156531;0,23541980
-24,95156531;0,23541980
-24,94156531;0,23541980
-24,93156531;0,23541980
-24,92156531;0,25379190
-24,91156531;0,25379190
-24,90156531;0,25379190
-24,89156531;0,25379190
-24,88156531;0,27216410
-24,87156531;0,27216410
-24,86156531;0,27216410
-24,85156531;0,27216410
-24,84156531;0,29053620
-24,83156531;0,29053620
-24,82156531;0,29053620
-24,81156531;0,30890830
-24,80156531;0,30890830
-24,79156531;0,30890830
-24,78156531;0,30890830
-24,77156531;0,32728050
-24,76156531;0,32728050
-24,75156531;0,30890830
-24,74156531;0,32728050
-24,73156531;0,32728050
-24,72156531;0,32728050
-24,71156531;0,32728050
-24,70156531;0,34565260
-24,69156531;0,34565260
-24,68156531;0,36402480
-24,67156531;0,36402480
-24,66156531;0,36402480
-24,65156531;0,38239690
-24,64156531;0,38239690
-24,63156531;0,38239690
-24,62156531;0,38239690
-24,61156531;0,38239690
-24,60156531;0,38239690
-24,59156531;0,40076910
-24,58156531;0,40076910
-24,57156531;0,40076910
-24,56156531;0,40076910
-24,55156531;0,41914120
-24,54156531;0,41914120
-24,53156531;0,40076910
-24,52156531;0,41914120
-24,51156531;0,43751340
-24,50156531;0,43751340
-24,49156531;0,43751340
-24,48156531;0,43751340
-24,47156531;0,45588550
-24,46156531;0,45588550
-24,45156531;0,45588550
-24,44156531;0,45588550
-24,43156531;0,47425760
-24,42156531;0,47425760
-24,41156531;0,47425760
-24,40156531;0,47425760
-24,39156531;0,47425760
-24,38156531;0,47425760
-24,37156531;0,47425760
-24,36156531;0,49262980
-24,35156531;0,49262980
-24,34156531;0,49262980
-24,33156531;0,51100190
-24,32156531;0,51100190
-24,31156531;0,51100190
-24,30156531;0,51100190
-24,29156531;0,52937410
-24,28156531;0,52937410
-24,27156531;0,52937410
-24,26156531;0,52937410
-24,25156531;0,52937410
-24,24156531;0,52937410
-24,23156531;0,54774620
-24,22156531;0,54774620
-24,21156531;0,54774620
-24,20156531;0,56611840
-24,19156531;0,56611840
-24,18156531;0,56611840
-24,17156531;0,56611840
-24,16156531;0,58449050
-24,15156531;0,58449050
-24,14156531;0,58449050
-24,13156531;0,58449050
-24,12156531;0,58449050
-24,11156531;0,60286270
-24,10156531;0,60286270
-24,09156531;0,60286270
-24,08156531;0,60286270
