Temps;Canal A
(ms);(V)

-5,00257313;5,02212600
-5,00129313;5,02212600
-5,00001313;5,02212600
-4,99873313;5,02212600
-4,99745313;5,02212600
-4,99617313;5,02212600
-4,99489313;5,02212600
-4,99361313;5,02212600
-4,99233313;5,02212600
-4,99105313;5,02212600
-4,98977313;5,02212600
-4,98849313;5,02212600
-4,98721313;5,02212600
-4,98593313;5,02212600
-4,98465313;5,02212600
-4,98337313;5,02212600
-4,98209313;5,02212600
-4,98081313;5,02212600
-4,97953313;5,02212600
-4,97825313;5,02212600
-4,97697313;5,02212600
-4,97569313;5,02212600
-4,97441313;5,02212600
-4,97313313;5,02212600
-4,97185313;5,02212600
-4,97057313;5,02212600
-4,96929313;5,02212600
-4,96801313;5,02212600
-4,96673313;5,02212600
-4,96545313;5,02212600
-4,96417313;5,02212600
-4,96289313;5,02212600
-4,96161313;5,02212600
-4,96033313;5,02212600
-4,95905313;5,02212600
-4,95777313;5,02212600
-4,95649313;5,02212600
-4,95521313;5,02212600
-4,95393313;5,02212600
-4,95265313;5,02212600
-4,95137313;5,02212600
-4,95009313;5,02212600
-4,94881313;5,02212600
-4,94753313;5,02212600
-4,94625313;5,02212600
-4,94497313;4,93087600
-4,94369313;4,93087600
-4,94241313;2,09875800
-4,94113313;0,08941923
-4,93985313;-0,00183111
-4,93857313;0,08941923
-4,93729313;0,08941923
-4,93601313;-0,00183111
-4,93473313;-0,00183111
-4,93345313;0,08941923
-4,93217313;-0,00183111
-4,93089313;0,08941923
-4,92961313;-0,00183111
-4,92833313;0,08941923
-4,92705313;-0,00183111
-4,92577313;-0,00183111
-4,92449313;-0,00183111
-4,92321313;-0,00183111
-4,92193313;-0,00183111
-4,92065313;-0,00183111
-4,91937313;-0,00183111
-4,91809313;-0,00183111
-4,91681313;-0,00183111
-4,91553313;-0,00183111
-4,91425313;0,08941923
-4,91297313;0,08941923
-4,91169313;-0,00183111
-4,91041313;-0,00183111
-4,90913313;-0,00183111
-4,90785313;-0,00183111
-4,90657313;-0,00183111
-4,90529313;-0,00183111
-4,90401313;-0,00183111
-4,90273313;-0,00183111
-4,90145313;-0,00183111
-4,90017313;0,08941923
-4,89889313;-0,00183111
-4,89761313;-0,00183111
-4,89633313;-0,00183111
-4,89505313;-0,00183111
-4,89377313;-0,00183111
-4,89249313;-0,00183111
-4,89121313;-0,00183111
-4,88993313;-0,00183111
-4,88865313;-0,00183111
-4,88737313;-0,00183111
-4,88609313;-0,00183111
-4,88481313;-0,00183111
-4,88353313;-0,00183111
-4,88225313;-0,00183111
-4,88097313;-0,00183111
-4,87969313;-0,00183111
-4,87841313;-0,00183111
-4,87713313;-0,00183111
-4,87585313;-0,00183111
-4,87457313;-0,00183111
-4,87329313;-0,00183111
-4,87201313;0,08941923
-4,87073313;-0,00183111
-4,86945313;-0,00183111
-4,86817313;-0,00183111
-4,86689313;-0,00183111
-4,86561313;-0,00183111
-4,86433313;-0,00183111
-4,86305313;-0,00183111
-4,86177313;-0,00183111
-4,86049313;-0,00183111
-4,85921313;-0,00183111
-4,85793313;-0,00183111
