Temps;Canal A
(ms);(V)

-5,00297919;5,02212600
-5,00169919;5,02212600
-5,00041919;5,02212600
-4,99913919;5,02212600
-4,99785919;5,02212600
-4,99657919;5,02212600
-4,99529919;5,02212600
-4,99401919;5,02212600
-4,99273919;5,02212600
-4,99145919;5,02212600
-4,99017919;5,02212600
-4,98889919;5,02212600
-4,98761919;5,02212600
-4,98633919;5,02212600
-4,98505919;5,02212600
-4,98377919;5,02212600
-4,98249919;5,02212600
-4,98121919;5,02212600
-4,97993919;5,02212600
-4,97865919;5,02212600
-4,97737919;5,02212600
-4,97609919;5,02212600
-4,97481919;5,02212600
-4,97353919;5,02212600
-4,97225919;5,02212600
-4,97097919;5,02212600
-4,96969919;5,02212600
-4,96841919;5,02212600
-4,96713919;5,02212600
-4,96585919;5,02212600
-4,96457919;5,02212600
-4,96329919;5,02212600
-4,96201919;5,02212600
-4,96073919;5,02212600
-4,95945919;5,02212600
-4,95817919;5,02212600
-4,95689919;5,02212600
-4,95561919;5,02212600
-4,95433919;5,02212600
-4,95305919;5,02212600
-4,95177919;5,02212600
-4,95049919;5,02212600
-4,94921919;5,02212600
-4,94793919;5,02212600
-4,94665919;5,02212600
-4,94537919;5,02212600
-4,94409919;5,02212600
-4,94281919;5,02212600
-4,94153919;5,02212600
-4,94025919;5,02212600
-4,93897919;5,02212600
-4,93769919;5,02212600
-4,93641919;5,02212600
-4,93513919;5,02212600
-4,93385919;5,02212600
-4,93257919;5,02212600
-4,93129919;5,02212600
-4,93001919;5,02212600
-4,92873919;5,02212600
-4,92745919;5,02212600
-4,92617919;5,02212600
-4,92489919;5,02212600
-4,92361919;5,02212600
-4,92233919;5,02212600
-4,92105919;5,02212600
-4,91977919;5,02212600
-4,91849919;5,02212600
-4,91721919;5,02212600
-4,91593919;5,02212600
-4,91465919;5,02212600
-4,91337919;5,02212600
-4,91209919;5,02212600
-4,91081919;5,02212600
-4,90953919;5,02212600
-4,90825919;5,02212600
-4,90697919;5,02212600
-4,90569919;5,02212600
-4,90441919;5,02212600
-4,90313919;5,02212600
-4,90185919;5,02212600
-4,90057919;5,02212600
-4,89929919;5,02212600
-4,89801919;5,02212600
-4,89673919;5,02212600
-4,89545919;5,02212600
-4,89417919;5,02212600
-4,89289919;5,02212600
-4,89161919;5,02212600
-4,89033919;5,02212600
-4,88905919;5,02212600
-4,88777919;5,02212600
-4,88649919;5,02212600
-4,88521919;5,02212600
-4,88393919;5,02212600
-4,88265919;5,02212600
-4,88137919;5,02212600
-4,88009919;5,02212600
-4,87881919;5,02212600
-4,87753919;5,02212600
-4,87625919;5,02212600
-4,87497919;5,02212600
-4,87369919;5,02212600
-4,87241919;5,02212600
-4,87113919;5,02212600
-4,86985919;5,02212600
-4,86857919;5,02212600
-4,86729919;5,02212600
-4,86601919;5,02212600
-4,86473919;5,02212600
-4,86345919;5,02212600
-4,86217919;5,02212600
-4,86089919;5,02212600
-4,85961919;5,02212600
-4,85833919;5,02212600
-4,85705919;5,02212600
-4,85577919;5,02212600
-4,85449919;5,02212600
-4,85321919;5,02212600
