Temps;Canal A
(ms);(V)

-5,00237290;5,02212600
-5,00109290;5,02212600
-4,99981290;5,02212600
-4,99853290;5,02212600
-4,99725290;5,02212600
-4,99597290;5,02212600
-4,99469290;5,02212600
-4,99341290;5,02212600
-4,99213290;5,02212600
-4,99085290;5,02212600
-4,98957290;5,02212600
-4,98829290;5,02212600
-4,98701290;5,02212600
-4,98573290;5,02212600
-4,98445290;5,02212600
-4,98317290;5,02212600
-4,98189290;5,02212600
-4,98061290;5,02212600
-4,97933290;5,02212600
-4,97805290;5,02212600
-4,97677290;5,02212600
-4,97549290;5,02212600
-4,97421290;5,02212600
-4,97293290;5,02212600
-4,97165290;5,02212600
-4,97037290;5,02212600
-4,96909290;5,02212600
-4,96781290;5,02212600
-4,96653290;5,02212600
-4,96525290;5,02212600
-4,96397290;5,02212600
-4,96269290;5,02212600
-4,96141290;5,02212600
-4,96013290;5,02212600
-4,95885290;5,02212600
-4,95757290;5,02212600
-4,95629290;5,02212600
-4,95501290;5,02212600
-4,95373290;5,02212600
-4,95245290;5,02212600
-4,95117290;5,02212600
-4,94989290;5,02212600
-4,94861290;5,02212600
-4,94733290;5,02212600
-4,94605290;5,02212600
-4,94477290;5,02212600
-4,94349290;5,02212600
-4,94221290;5,02212600
-4,94093290;5,02212600
-4,93965290;5,02212600
-4,93837290;5,02212600
-4,93709290;5,02212600
-4,93581290;5,02212600
-4,93453290;5,02212600
-4,93325290;5,02212600
-4,93197290;5,02212600
-4,93069290;5,02212600
-4,92941290;5,02212600
-4,92813290;5,02212600
-4,92685290;5,02212600
-4,92557290;5,02212600
-4,92429290;5,02212600
-4,92301290;5,02212600
-4,92173290;5,02212600
-4,92045290;5,02212600
-4,91917290;5,02212600
-4,91789290;5,02212600
-4,91661290;5,02212600
-4,91533290;5,02212600
-4,91405290;5,02212600
-4,91277290;5,02212600
-4,91149290;5,02212600
-4,91021290;5,02212600
-4,90893290;5,02212600
-4,90765290;5,02212600
-4,90637290;5,02212600
-4,90509290;5,02212600
-4,90381290;5,02212600
-4,90253290;5,02212600
-4,90125290;5,02212600
-4,89997290;5,02212600
-4,89869290;5,02212600
-4,89741290;5,02212600
-4,89613290;5,02212600
-4,89485290;5,02212600
-4,89357290;5,02212600
-4,89229290;5,02212600
-4,89101290;5,02212600
-4,88973290;5,02212600
-4,88845290;5,02212600
-4,88717290;5,02212600
-4,88589290;5,02212600
-4,88461290;5,02212600
-4,88333290;5,02212600
-4,88205290;5,02212600
-4,88077290;5,02212600
-4,87949290;5,02212600
-4,87821290;5,02212600
-4,87693290;5,02212600
-4,87565290;5,02212600
-4,87437290;5,02212600
-4,87309290;5,02212600
-4,87181290;5,02212600
-4,87053290;5,02212600
-4,86925290;5,02212600
-4,86797290;5,02212600
-4,86669290;5,02212600
-4,86541290;5,02212600
-4,86413290;5,02212600
-4,86285290;5,02212600
-4,86157290;5,02212600
-4,86029290;5,02212600
-4,85901290;5,02212600
-4,85773290;5,02212600
-4,85645290;5,02212600
-4,85517290;5,02212600
-4,85389290;5,02212600
-4,85261290;5,02212600
