Temps;Canal A
(ms);(V)

-5,00265788;1,64220100
-5,00137788;1,64220100
-5,00009788;1,64220100
-4,99881788;1,64220100
-4,99753788;1,64220100
-4,99625788;1,73345100
-4,99497788;1,64220100
-4,99369788;1,64220100
-4,99241788;1,64220100
-4,99113788;1,73345100
-4,98985788;1,73345100
-4,98857788;1,73345100
-4,98729788;1,73345100
-4,98601788;1,73345100
-4,98473788;1,73345100
-4,98345788;1,73345100
-4,98217788;1,73345100
-4,98089788;1,73345100
-4,97961788;1,82470200
-4,97833788;1,73345100
-4,97705788;1,73345100
-4,97577788;1,82470200
-4,97449788;1,82470200
-4,97321788;1,82470200
-4,97193788;1,82470200
-4,97065788;1,82470200
-4,96937788;1,82470200
-4,96809788;1,91625700
-4,96681788;1,82470200
-4,96553788;1,91625700
-4,96425788;1,91625700
-4,96297788;1,91625700
-4,96169788;1,91625700
-4,96041788;1,91625700
-4,95913788;1,91625700
-4,95785788;1,91625700
-4,95657788;1,91625700
-4,95529788;1,91625700
-4,95401788;1,91625700
-4,95273788;1,91625700
-4,95145788;1,91625700
-4,95017788;1,91625700
-4,94889788;1,91625700
-4,94761788;2,00750800
-4,94633788;2,00750800
-4,94505788;2,00750800
-4,94377788;2,00750800
-4,94249788;2,00750800
-4,94121788;2,00750800
-4,93993788;2,00750800
-4,93865788;2,09875800
-4,93737788;2,09875800
-4,93609788;2,00750800
-4,93481788;2,09875800
-4,93353788;2,09875800
-4,93225788;2,09875800
-4,93097788;2,09875800
-4,92969788;2,09875800
-4,92841788;2,09875800
-4,92713788;2,09875800
-4,92585788;2,09875800
-4,92457788;2,19031300
-4,92329788;2,19031300
-4,92201788;2,19031300
-4,92073788;2,19031300
-4,91945788;2,19031300
-4,91817788;2,28156400
-4,91689788;2,28156400
-4,91561788;2,28156400
-4,91433788;2,28156400
-4,91305788;2,28156400
-4,91177788;2,28156400
-4,91049788;2,28156400
-4,90921788;2,28156400
-4,90793788;2,28156400
-4,90665788;2,37281400
-4,90537788;2,37281400
-4,90409788;2,37281400
-4,90281788;2,37281400
-4,90153788;2,37281400
-4,90025788;2,37281400
-4,89897788;2,37281400
-4,89769788;2,37281400
-4,89641788;2,37281400
-4,89513788;2,37281400
-4,89385788;2,37281400
-4,89257788;2,46437000
-4,89129788;2,46437000
-4,89001788;2,46437000
-4,88873788;2,55562000
-4,88745788;2,55562000
-4,88617788;2,46437000
-4,88489788;2,55562000
-4,88361788;2,55562000
-4,88233788;2,64687000
-4,88105788;2,55562000
-4,87977788;2,55562000
-4,87849788;2,55562000
-4,87721788;2,64687000
-4,87593788;2,64687000
-4,87465788;2,64687000
-4,87337788;2,64687000
-4,87209788;2,64687000
-4,87081788;2,64687000
-4,86953788;2,64687000
-4,86825788;2,73842600
-4,86697788;2,73842600
-4,86569788;2,73842600
-4,86441788;2,73842600
-4,86313788;2,73842600
-4,86185788;2,73842600
-4,86057788;2,82967600
-4,85929788;2,82967600
-4,85801788;2,82967600
-4,85673788;2,82967600
-4,85545788;2,82967600
-4,85417788;2,82967600
-4,85289788;2,92092700
