Temps;Canal A
(ms);(V)

-5,00264904;1,45939500
-5,00136904;1,36814500
-5,00008904;1,36814500
-4,99880904;1,45939500
-4,99752904;1,36814500
-4,99624904;1,45939500
-4,99496904;1,45939500
-4,99368904;1,45939500
-4,99240904;1,36814500
-4,99112904;1,45939500
-4,98984904;1,36814500
-4,98856904;1,36814500
-4,98728904;1,45939500
-4,98600904;1,45939500
-4,98472904;1,45939500
-4,98344904;1,45939500
-4,98216904;1,36814500
-4,98088904;1,45939500
-4,97960904;1,36814500
-4,97832904;1,36814500
-4,97704904;1,36814500
-4,97576904;1,36814500
-4,97448904;1,36814500
-4,97320904;1,36814500
-4,97192904;1,36814500
-4,97064904;1,45939500
-4,96936904;1,36814500
-4,96808904;1,36814500
-4,96680904;1,36814500
-4,96552904;1,36814500
-4,96424904;1,45939500
-4,96296904;1,36814500
-4,96168904;1,45939500
-4,96040904;1,36814500
-4,95912904;1,45939500
-4,95784904;1,36814500
-4,95656904;1,36814500
-4,95528904;1,45939500
-4,95400904;1,36814500
-4,95272904;1,36814500
-4,95144904;1,36814500
-4,95016904;1,36814500
-4,94888904;1,36814500
-4,94760904;1,36814500
-4,94632904;1,36814500
-4,94504904;1,36814500
-4,94376904;1,36814500
-4,94248904;1,36814500
-4,94120904;1,36814500
-4,93992904;1,36814500
-4,93864904;1,36814500
-4,93736904;1,36814500
-4,93608904;1,36814500
-4,93480904;1,36814500
-4,93352904;1,45939500
-4,93224904;1,36814500
-4,93096904;1,36814500
-4,92968904;1,36814500
-4,92840904;1,45939500
-4,92712904;1,36814500
-4,92584904;1,45939500
-4,92456904;1,36814500
-4,92328904;1,45939500
-4,92200904;1,45939500
-4,92072904;1,36814500
-4,91944904;1,36814500
-4,91816904;1,36814500
-4,91688904;1,45939500
-4,91560904;1,45939500
-4,91432904;1,36814500
-4,91304904;1,36814500
-4,91176904;1,36814500
-4,91048904;1,36814500
-4,90920904;1,36814500
-4,90792904;1,36814500
-4,90664904;1,36814500
-4,90536904;1,36814500
-4,90408904;1,45939500
-4,90280904;1,45939500
-4,90152904;1,45939500
-4,90024904;1,36814500
-4,89896904;1,45939500
-4,89768904;1,45939500
-4,89640904;1,36814500
-4,89512904;1,45939500
-4,89384904;1,36814500
-4,89256904;1,45939500
-4,89128904;1,36814500
-4,89000904;1,36814500
-4,88872904;1,36814500
-4,88744904;1,45939500
-4,88616904;1,36814500
-4,88488904;1,36814500
-4,88360904;1,36814500
-4,88232904;1,36814500
-4,88104904;1,36814500
-4,87976904;1,36814500
-4,87848904;1,36814500
-4,87720904;1,45939500
-4,87592904;1,36814500
-4,87464904;1,45939500
-4,87336904;1,36814500
-4,87208904;1,36814500
-4,87080904;1,36814500
-4,86952904;1,45939500
-4,86824904;1,45939500
-4,86696904;1,36814500
-4,86568904;1,36814500
-4,86440904;1,45939500
-4,86312904;1,36814500
-4,86184904;1,45939500
-4,86056904;1,45939500
-4,85928904;1,36814500
-4,85800904;1,45939500
-4,85672904;1,45939500
-4,85544904;1,45939500
-4,85416904;1,45939500
-4,85288904;1,36814500
