Temps;Canal A
(ms);(V)

-5,00325486;2,24021100
-5,00197486;2,24021100
-5,00069486;2,24021100
-4,99941486;2,24021100
-4,99813486;2,24021100
-4,99685486;2,24021100
-4,99557486;2,28598900
-4,99429486;2,28598900
-4,99301486;2,28598900
-4,99173486;2,28598900
-4,99045486;2,28598900
-4,98917486;2,28598900
-4,98789486;2,28598900
-4,98661486;2,28598900
-4,98533486;2,33161400
-4,98405486;2,33161400
-4,98277486;2,33161400
-4,98149486;2,33161400
-4,98021486;2,37739200
-4,97893486;2,37739200
-4,97765486;2,37739200
-4,97637486;2,37739200
-4,97509486;2,37739200
-4,97381486;2,37739200
-4,97253486;2,37739200
-4,97125486;2,42317000
-4,96997486;2,42317000
-4,96869486;2,42317000
-4,96741486;2,42317000
-4,96613486;2,42317000
-4,96485486;2,42317000
-4,96357486;2,42317000
-4,96229486;2,42317000
-4,96101486;2,46879500
-4,95973486;2,46879500
-4,95845486;2,46879500
-4,95717486;2,46879500
-4,95589486;2,46879500
-4,95461486;2,46879500
-4,95333486;2,46879500
-4,95205486;2,51457300
-4,95077486;2,51457300
-4,94949486;2,51457300
-4,94821486;2,51457300
-4,94693486;2,51457300
-4,94565486;2,51457300
-4,94437486;2,51457300
-4,94309486;2,56019800
-4,94181486;2,56019800
-4,94053486;2,56019800
-4,93925486;2,56019800
-4,93797486;2,56019800
-4,93669486;2,60597600
-4,93541486;2,60597600
-4,93413486;2,60597600
-4,93285486;2,60597600
-4,93157486;2,60597600
-4,93029486;2,60597600
-4,92901486;2,60597600
-4,92773486;2,60597600
-4,92645486;2,60597600
-4,92517486;2,60597600
-4,92389486;2,65175300
-4,92261486;2,65175300
-4,92133486;2,65175300
-4,92005486;2,65175300
-4,91877486;2,65175300
-4,91749486;2,65175300
-4,91621486;2,65175300
-4,91493486;2,65175300
-4,91365486;2,65175300
-4,91237486;2,65175300
-4,91109486;2,69737800
-4,90981486;2,69737800
-4,90853486;2,69737800
-4,90725486;2,74315600
-4,90597486;2,74315600
-4,90469486;2,74315600
-4,90341486;2,74315600
-4,90213486;2,74315600
-4,90085486;2,78893400
-4,89957486;2,74315600
-4,89829486;2,78893400
-4,89701486;2,78893400
-4,89573486;2,78893400
-4,89445486;2,78893400
-4,89317486;2,78893400
-4,89189486;2,78893400
-4,89061486;2,78893400
-4,88933486;2,78893400
-4,88805486;2,83455900
-4,88677486;2,78893400
-4,88549486;2,78893400
-4,88421486;2,78893400
-4,88293486;2,83455900
-4,88165486;2,83455900
-4,88037486;2,83455900
-4,87909486;2,88033700
-4,87781486;2,88033700
-4,87653486;2,88033700
-4,87525486;2,88033700
-4,87397486;2,88033700
-4,87269486;2,88033700
-4,87141486;2,88033700
-4,87013486;2,88033700
-4,86885486;2,92596200
-4,86757486;2,92596200
-4,86629486;2,92596200
-4,86501486;2,92596200
-4,86373486;2,97174000
-4,86245486;2,97174000
-4,86117486;2,97174000
-4,85989486;2,97174000
-4,85861486;2,97174000
-4,85733486;2,97174000
-4,85605486;2,97174000
-4,85477486;2,97174000
-4,85349486;3,01751800
