Temps;Canal A;Canal B
(ms);(V);(V)

-5,00393100;0,00000000;-0,03707999
-5,00137100;0,04577776;-0,03707999
-4,99881100;0,00000000;-0,03707999
-4,99625100;0,00000000;-0,03707999
-4,99369100;0,00000000;-0,03707999
-4,99113100;0,00000000;-0,03707999
-4,98857100;0,00000000;0,00762963
-4,98601100;0,00000000;-0,03707999
-4,98345100;0,00000000;-0,03707999
-4,98089100;0,00000000;-0,03707999
-4,97833100;0,00000000;-0,03707999
-4,97577100;0,04577776;0,00762963
-4,97321100;0,00000000;-0,03707999
-4,97065100;0,00000000;-0,03707999
-4,96809100;0,04577776;-0,03707999
-4,96553100;0,00000000;-0,03707999
-4,96297100;0,00000000;-0,03707999
-4,96041100;0,00000000;-0,03707999
-4,95785100;0,04577776;-0,03707999
-4,95529100;0,00000000;-0,03707999
-4,95273100;0,00000000;-0,03707999
-4,95017100;0,00000000;-0,03707999
-4,94761100;0,00000000;-0,03707999
-4,94505100;0,00000000;-0,03707999
-4,94249100;0,00000000;-0,03707999
-4,93993100;0,00000000;-0,03707999
-4,93737100;0,00000000;-0,03707999
-4,93481100;0,00000000;-0,03707999
-4,93225100;0,04577776;-0,03707999
-4,92969100;0,00000000;-0,03707999
-4,92713100;0,04577776;-0,03707999
-4,92457100;0,00000000;-0,03707999
-4,92201100;0,00000000;0,00762963
-4,91945100;0,00000000;-0,03707999
-4,91689100;0,04577776;-0,03707999
-4,91433100;0,00000000;-0,03707999
-4,91177100;0,00000000;-0,03707999
-4,90921100;0,00000000;0,00762963
-4,90665100;0,00000000;-0,03707999
-4,90409100;0,04577776;-0,03707999
-4,90153100;0,00000000;-0,03707999
-4,89897100;0,00000000;-0,03707999
-4,89641100;0,00000000;-0,03707999
-4,89385100;0,00000000;-0,03707999
-4,89129100;0,00000000;-0,03707999
-4,88873100;0,00000000;-0,03707999
-4,88617100;0,00000000;-0,03707999
-4,88361100;0,00000000;-0,03707999
-4,88105100;0,00000000;-0,03707999
-4,87849100;0,00000000;-0,03707999
-4,87593100;0,04577776;-0,03707999
-4,87337100;0,00000000;-0,03707999
-4,87081100;0,00000000;-0,03707999
-4,86825100;0,00000000;-0,03707999
-4,86569100;0,00000000;-0,03707999
-4,86313100;0,00000000;-0,03707999
-4,86057100;0,00000000;0,00762963
-4,85801100;0,00000000;-0,03707999
-4,85545100;0,04577776;-0,03707999
-4,85289100;0,04577776;-0,03707999
-4,85033100;0,00000000;-0,03707999
-4,84777100;0,00000000;-0,03707999
-4,84521100;0,00000000;-0,03707999
-4,84265100;0,00000000;-0,03707999
-4,84009100;0,04577776;-0,03707999
-4,83753100;0,00000000;-0,03707999
-4,83497100;0,00000000;-0,03707999
-4,83241100;0,00000000;-0,03707999
-4,82985100;0,00000000;-0,03707999
-4,82729100;0,00000000;-0,03707999
-4,82473100;0,00000000;-0,03707999
-4,82217100;0,04577776;-0,03707999
-4,81961100;0,00000000;-0,03707999
-4,81705100;0,00000000;-0,03707999
-4,81449100;0,00000000;-0,03707999
-4,81193100;0,00000000;-0,03707999
-4,80937100;0,00000000;-0,03707999
-4,80681100;0,00000000;-0,03707999
-4,80425100;0,00000000;-0,03707999
-4,80169100;0,04577776;-0,03707999
-4,79913100;0,00000000;-0,03707999
-4,79657100;0,00000000;-0,03707999
-4,79401100;0,00000000;-0,03707999
-4,79145100;0,00000000;-0,03707999
-4,78889100;0,00000000;-0,03707999
-4,78633100;0,00000000;-0,03707999
-4,78377100;0,04577776;-0,03707999
-4,78121100;0,00000000;-0,03707999
-4,77865100;0,04577776;-0,03707999
-4,77609100;0,00000000;-0,03707999
-4,77353100;0,00000000;-0,03707999
-4,77097100;0,00000000;-0,03707999
-4,76841100;0,00000000;-0,03707999
-4,76585100;0,00000000;-0,03707999
-4,76329100;0,00000000;-0,03707999
-4,76073100;0,00000000;-0,03707999
-4,75817100;0,00000000;-0,03707999
-4,75561100;0,00000000;-0,03707999
-4,75305100;0,04577776;-0,03707999
-4,75049100;0,04577776;-0,03707999
-4,74793100;0,00000000;-0,03707999
-4,74537100;0,04577776;-0,03707999
-4,74281100;0,00000000;-0,03707999
-4,74025100;0,00000000;-0,03707999
-4,73769100;0,04577776;-0,03707999
-4,73513100;0,00000000;-0,03707999
-4,73257100;0,00000000;-0,03707999
-4,73001100;0,00000000;-0,03707999
-4,72745100;0,00000000;-0,03707999
-4,72489100;0,00000000;-0,03707999
-4,72233100;0,04577776;-0,03707999
-4,71977100;0,04577776;0,00762963
-4,71721100;0,00000000;-0,03707999
-4,71465100;0,00000000;-0,03707999
