Temps;Canal A;Canal B
(ms);(V);(V)

-5,00359293;0,00000000;-0,66499830
-5,00103293;0,00000000;-0,66499830
-4,99847293;0,00000000;-0,66499830
-4,99591293;0,00000000;-0,66499830
-4,99335293;0,04577776;-0,62013610
-4,99079293;0,00000000;-0,62013610
-4,98823293;0,00000000;-0,66499830
-4,98567293;0,00000000;-0,66499830
-4,98311293;0,00000000;-0,62013610
-4,98055293;0,00000000;-0,62013610
-4,97799293;0,00000000;-0,62013610
-4,97543293;0,00000000;-0,62013610
-4,97287293;0,00000000;-0,62013610
-4,97031293;0,00000000;-0,62013610
-4,96775293;0,00000000;-0,62013610
-4,96519293;0,00000000;-0,62013610
-4,96263293;0,00000000;-0,57527390
-4,96007293;0,00000000;-0,57527390
-4,95751293;0,00000000;-0,57527390
-4,95495293;0,00000000;-0,53041170
-4,95239293;0,00000000;-0,57527390
-4,94983293;0,00000000;-0,53041170
-4,94727293;0,00000000;-0,53041170
-4,94471293;0,00000000;-0,53041170
-4,94215293;0,00000000;-0,48554950
-4,93959293;0,00000000;-0,48554950
-4,93703293;0,00000000;-0,48554950
-4,93447293;0,00000000;-0,48554950
-4,93191293;0,00000000;-0,44068730
-4,92935293;0,00000000;-0,44068730
-4,92679293;0,00000000;-0,44068730
-4,92423293;0,00000000;-0,39582510
-4,92167293;0,00000000;-0,39582510
-4,91911293;0,00000000;-0,39582510
-4,91655293;0,00000000;-0,35096280
-4,91399293;0,00000000;-0,30610060
-4,91143293;0,00000000;-0,30610060
-4,90887293;0,00000000;-0,30610060
-4,90631293;0,00000000;-0,30610060
-4,90375293;0,00000000;-0,26123850
-4,90119293;0,00000000;-0,26123850
-4,89863293;0,00000000;-0,21637620
-4,89607293;0,00000000;-0,21637620
-4,89351293;0,00000000;-0,17151400
-4,89095293;0,00000000;-0,12665180
-4,88839293;0,00000000;-0,12665180
-4,88583293;0,00000000;-0,12665180
-4,88327293;0,00000000;-0,08178961
-4,88071293;0,00000000;-0,08178961
-4,87815293;0,00000000;-0,03707999
-4,87559293;0,00000000;-0,03707999
-4,87303293;0,00000000;0,00762963
-4,87047293;0,00000000;0,00762963
-4,86791293;0,04577776;0,05249184
-4,86535293;0,04577776;0,09735405
-4,86279293;0,09155553;0,09735405
-4,86023293;0,09155553;0,09735405
-4,85767293;0,13718070;0,14221630
-4,85511293;0,18295850;0,14221630
-4,85255293;0,18295850;0,18707850
-4,84999293;0,22858360;0,23194070
-4,84743293;0,22858360;0,23194070
-4,84487293;0,27420880;0,27680290
-4,84231293;0,27420880;0,27680290
-4,83975293;0,31998660;0,32166510
-4,83719293;0,31998660;0,32166510
-4,83463293;0,41138950;0,36652730
-4,83207293;0,41138950;0,41138950
-4,82951293;0,45716730;0,41138950
-4,82695293;0,45716730;0,45625170
-4,82439293;0,45716730;0,50111400
-4,82183293;0,50279240;0,50111400
-4,81927293;0,54857020;0,54597620
-4,81671293;0,54857020;0,54597620
-4,81415293;0,59434800;0,59083830
-4,81159293;0,63997320;0,63570050
-4,80903293;0,63997320;0,63570050
-4,80647293;0,68575090;0,68056270
-4,80391293;0,73137610;0,72542490
-4,80135293;0,73137610;0,72542490
-4,79879293;0,77715380;0,77028720
-4,79623293;0,77715380;0,77028720
-4,79367293;0,82293160;0,81514940
-4,79111293;0,82293160;0,86001160
-4,78855293;0,91433450;0,86001160
-4,78599293;0,91433450;0,90487380
-4,78343293;0,96011230;0,94958340
-4,78087293;1,00573700;0,94958340
-4,77831293;1,00573700;0,99444560
-4,77575293;1,05151500;1,03930800
-4,77319293;1,09714000;1,08417000
-4,77063293;1,09714000;1,08417000
-4,76807293;1,14291800;1,12903200
-4,76551293;1,14291800;1,17389500
-4,76295293;1,18869600;1,17389500
-4,76039293;1,18869600;1,21875700
-4,75783293;1,23432100;1,21875700
-4,75527293;1,28009900;1,26361900
-4,75271293;1,32587700;1,30848100
-4,75015293;1,32587700;1,35334300
-4,74759293;1,37150200;1,39820600
-4,74503293;1,41728000;1,39820600
-4,74247293;1,41728000;1,39820600
-4,73991293;1,46290500;1,44306800
-4,73735293;1,50868200;1,48793000
-4,73479293;1,50868200;1,48793000
-4,73223293;1,55446000;1,53279200
-4,72967293;1,55446000;1,57765400
-4,72711293;1,60008500;1,57765400
-4,72455293;1,64586300;1,62251700
-4,72199293;1,69164100;1,66737900
-4,71943293;1,69164100;1,71224100
-4,71687293;1,69164100;1,71224100
-4,71431293;1,73726600;1,75710300
-4,71175293;1,78304400;1,75710300
-4,70919293;1,82866900;1,80196500
-4,70663293;1,82866900;1,84682800
