Temps;A - B
(ms);(V)

-5,00008484;-0,03097630
-4,99752484;0,01480138
-4,99496484;-0,03006077
-4,99240484;0,01556444
-4,98984484;-0,02929771
-4,98728484;-0,02929771
-4,98472484;-0,02838218
-4,98216484;0,01739550
-4,97960484;0,01739550
-4,97704484;-0,02746665
-4,97448484;0,01815856
-4,97192484;-0,02670372
-4,96936484;0,01907408
-4,96680484;-0,02578807
-4,96424484;0,01983702
-4,96168484;0,02075255
-4,95912484;0,02075255
-4,95656484;0,02075255
-4,95400484;-0,02410960
-4,95144484;0,02166820
-4,94888484;-0,02319407
-4,94632484;0,02243114
-4,94376484;0,02243114
-4,94120484;-0,02243102
-4,93864484;0,06912446
-4,93608484;-0,02151561
-4,93352484;0,02426219
-4,93096484;-0,02059996
-4,92840484;-0,02059996
-4,92584484;0,02502525
-4,92328484;-0,01983702
-4,92072484;0,02594066
-4,91816484;-0,01892149
-4,91560484;0,02670372
-4,91304484;0,02670372
-4,91048484;0,02761924
-4,90792484;-0,01709032
-4,90536484;-0,01709032
-4,90280484;0,02868748
-4,90024484;-0,01617479
-4,89768484;0,02945030
-4,89512485;-0,01541185
-4,89256485;0,03036582
-4,89000485;0,03036582
-4,88744485;-0,05935860
-4,88488485;-0,01358080
-4,88232485;-0,01358080
-4,87976485;-0,01281786
-4,87720485;-0,01281786
-4,87464485;-0,01190233
-4,87208485;-0,01190233
-4,86952485;0,03372288
-4,86696485;-0,01113915
-4,86440485;0,03463864
-4,86184485;-0,01022363
-4,85928485;-0,01022363
-4,85672485;0,03555417
-4,85416485;-0,00930810
-4,85160485;-0,00930810
-4,84904485;-0,00854540
-4,84648485;-0,00854540
-4,84392485;-0,00762963
-4,84136485;-0,00762963
-4,83880485;-0,00671411
-4,83624485;-0,00671411
-4,83368485;-0,00671411
-4,83112485;0,03891110
-4,82856485;-0,00595117
-4,82600485;-0,00595117
-4,82344485;-0,00503540
-4,82088485;-0,00427246
-4,81832485;-0,00427246
-4,81576485;-0,00335693
-4,81320485;-0,00335693
-4,81064485;0,04242063
-4,80808485;-0,00244165
-4,80552485;-0,00244165
-4,80296485;-0,00244165
-4,80040485;-0,04730368
-4,79784485;-0,04654074
-4,79528485;-0,00076294
-4,79272485;0,00015259
-4,79016485;0,00015259
-4,78760485;0,00015259
-4,78504485;-0,04470968
-4,78248485;0,00091553
-4,77992485;0,00198388
-4,77736485;0,00198388
-4,77480485;-0,04287839
-4,77224485;0,00274682
-4,76968485;0,00366211
-4,76712485;0,00366211
-4,76456485;0,00366211
-4,76200485;0,04943991
-4,75944485;0,00457764
-4,75688485;-0,04028440
-4,75432485;-0,04028440
-4,75176485;0,00534082
-4,74920485;0,00625634
-4,74664485;0,00625634
-4,74408485;0,00717187
-4,74152485;0,00717187
-4,73896485;0,05279708
-4,73640485;0,00793481
-4,73384485;0,00793481
-4,73128485;0,00885034
-4,72872485;0,00885034
-4,72616485;-0,03601193
-4,72360485;0,00961328
-4,72104485;0,01052880
-4,71848485;0,01052880
-4,71592485;0,01052880
-4,71336485;0,01144433
-4,71080485;-0,03341770
