Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

-10,00633463;0,84170050;0,27216410;-0,65829950;-0,65829950
-10,00121463;0,84170050;0,27216410;-0,25411240;-0,25411240
-9,99609463;1,24588800;0,00128178;0,37060150;0,37060150
-9,99097463;1,87060200;0,00128178;0,44409010;0,44409010
-9,98585463;1,94409000;0,00128178;0,46246220;0,46246220
-9,98073463;1,96246200;0,00128178;0,46246220;0,46246220
-9,97561463;1,96246200;0,00128178;0,46246220;0,46246220
-9,97049463;1,96246200;0,00128178;0,46246220;0,46246220
-9,96537463;1,96246200;0,00128178;0,44409010;0,44409010
-9,96025463;1,94409000;0,00128178;0,46246220;0,46246220
-9,95513463;1,96246200;0,00128178;0,46246220;0,46246220
-9,95001463;1,96246200;0,00128178;0,46246220;0,46246220
-9,94489463;1,96246200;-0,01672414;0,46246220;0,46246220
-9,93977463;1,96246200;0,00128178;0,46246220;0,46246220
-9,93465463;1,96246200;0,00128178;0,46246220;0,46246220
-9,92953463;1,96246200;0,00128178;0,46246220;0,46246220
-9,92441463;1,96246200;0,00128178;0,46246220;0,46246220
-9,91929463;1,96246200;0,00128178;0,46246220;0,46246220
-9,91417463;1,96246200;0,00128178;0,46246220;0,46246220
-9,90905463;1,96246200;0,00128178;0,46246220;0,46246220
-9,90393463;1,96246200;0,00128178;0,46246220;0,46246220
-9,89881463;1,96246200;0,00128178;0,46246220;0,46246220
-9,89369463;1,96246200;0,00128178;0,46246220;0,46246220
-9,88857463;1,96246200;0,00128178;0,46246220;0,46246220
-9,88345463;1,96246200;0,00128178;0,46246220;0,46246220
-9,87833463;1,96246200;0,00128178;0,46246220;0,46246220
-9,87321463;1,96246200;0,00128178;0,46246220;0,46246220
-9,86809463;1,96246200;0,00128178;0,46246220;0,46246220
-9,86297463;1,96246200;0,00128178;0,46246220;0,46246220
-9,85785463;1,96246200;0,00128178;0,48083440;0,48083440
-9,85273463;1,98083400;0,00128178;0,46246220;0,46246220
-9,84761463;1,96246200;0,00128178;0,48083440;0,48083440
-9,84249463;1,98083400;0,00128178;0,46246220;0,46246220
