Temps;Canal A;Canal B
(ms);(V);(V)

-2,50239903;1,96246200;0,00128178
-2,50111903;1,96246200;0,00128178
-2,49983903;1,96246200;0,00128178
-2,49855903;1,96246200;0,00128178
-2,49727903;1,96246200;0,00128178
-2,49599903;1,98083400;0,00128178
-2,49471903;1,96246200;0,00128178
-2,49343903;1,96246200;0,00128178
-2,49215903;1,96246200;0,00128178
-2,49087903;1,96246200;0,00128178
-2,48959903;1,96246200;0,00128178
-2,48831903;1,96246200;0,00128178
-2,48703903;1,96246200;0,00128178
-2,48575903;1,96246200;0,00128178
-2,48447903;1,96246200;0,00128178
-2,48319903;1,96246200;0,00128178
-2,48191903;1,96246200;0,00128178
-2,48063903;1,96246200;0,00128178
-2,47935903;1,96246200;0,00128178
-2,47807903;1,96246200;0,00128178
-2,47679903;1,96246200;0,00128178
-2,47551903;1,96246200;0,00128178
-2,47423903;1,96246200;0,00128178
-2,47295903;1,96246200;-0,01672414
-2,47167903;1,96246200;0,00128178
-2,47039903;1,96246200;0,00128178
-2,46911903;1,96246200;0,00128178
-2,46783903;1,96246200;0,00128178
-2,46655903;1,96246200;0,00128178
-2,46527903;1,96246200;0,00128178
-2,46399903;1,96246200;0,00128178
-2,46271903;1,96246200;-0,01672414
-2,46143903;1,96246200;0,00128178
-2,46015903;1,96246200;0,00128178
-2,45887903;1,96246200;0,00128178
-2,45759903;1,96246200;0,00128178
-2,45631903;1,96246200;0,00128178
-2,45503903;1,96246200;0,00128178
-2,45375903;1,96246200;0,00128178
-2,45247903;1,96246200;0,00128178
-2,45119903;1,96246200;0,00128178
-2,44991903;1,96246200;0,00128178
-2,44863903;1,96246200;0,00128178
-2,44735903;1,96246200;-0,01672414
-2,44607903;1,96246200;0,00128178
-2,44479903;1,96246200;0,00128178
-2,44351903;1,96246200;0,00128178
-2,44223903;1,96246200;0,00128178
-2,44095903;1,96246200;0,00128178
-2,43967903;1,96246200;0,00128178
-2,43839903;1,96246200;0,00128178
-2,43711903;1,98083400;0,00128178
-2,43583903;1,96246200;0,00128178
-2,43455903;1,96246200;0,00128178
-2,43327903;1,96246200;0,00128178
-2,43199903;1,96246200;0,00128178
-2,43071903;1,98083400;0,00128178
-2,42943903;1,96246200;0,00128178
-2,42815903;1,96246200;0,00128178
-2,42687903;1,96246200;0,00128178
-2,42559903;1,96246200;0,00128178
-2,42431903;1,96246200;0,00128178
-2,42303903;1,96246200;0,00128178
-2,42175903;1,96246200;0,00128178
-2,42047903;1,98083400;0,00128178
-2,41919903;1,96246200;0,00128178
-2,41791903;1,96246200;0,00128178
-2,41663903;1,96246200;0,00128178
-2,41535903;1,96246200;0,00128178
-2,41407903;1,66850800;0,00128178
-2,41279903;1,08053800;-0,01672414
-2,41151903;0,84170050;0,19989620
-2,41023903;0,87844480;0,27216410
-2,40895903;0,86007260;0,27216410
-2,40767903;0,86007260;0,29023100
-2,40639903;0,86007260;0,27216410
-2,40511903;0,86007260;0,27216410
-2,40383903;0,86007260;0,27216410
-2,40255903;0,86007260;0,27216410
-2,40127903;0,86007260;0,27216410
-2,39999903;0,86007260;0,27216410
-2,39871903;0,86007260;0,27216410
-2,39743903;0,86007260;0,29023100
-2,39615903;0,86007260;0,27216410
-2,39487903;0,86007260;0,27216410
-2,39359903;0,86007260;0,27216410
-2,39231903;0,86007260;0,27216410
-2,39103903;0,86007260;0,27216410
-2,38975903;0,86007260;0,27216410
-2,38847903;0,86007260;0,27216410
-2,38719903;0,84170050;0,27216410
-2,38591903;0,86007260;0,29023100
-2,38463903;0,86007260;0,27216410
-2,38335903;0,86007260;0,27216410
-2,38207903;0,86007260;0,27216410
-2,38079903;0,84170050;0,29023100
-2,37951903;0,86007260;0,27216410
-2,37823903;0,86007260;0,27216410
-2,37695903;0,86007260;0,27216410
-2,37567903;0,86007260;0,27216410
-2,37439903;0,84170050;0,27216410
-2,37311903;0,84170050;0,27216410
-2,37183903;0,86007260;0,29023100
-2,37055903;0,86007260;0,27216410
-2,36927903;0,84170050;0,27216410
-2,36799903;0,86007260;0,27216410
-2,36671903;0,84170050;0,27216410
-2,36543903;0,86007260;0,27216410
-2,36415903;0,84170050;0,27216410
-2,36287903;0,86007260;0,27216410
-2,36159903;0,84170050;0,27216410
-2,36031903;0,84170050;0,27216410
-2,35903903;0,84170050;0,27216410
-2,35775903;0,84170050;0,27216410
-2,35647903;0,84170050;0,27216410
-2,35519903;0,84170050;0,27216410
-2,35391903;0,84170050;0,27216410
-2,35263903;0,84170050;0,27216410
-2,35135903;0,84170050;0,27216410
-2,35007903;0,84170050;0,27216410
