Temps;Canal A;Canal B
(ms);(mV);(V)

-100,18862784;4,39466500;0,00128178
-100,10670784;-0,18311100;0,00128178
-100,02478784;-0,18311100;0,00128178
-99,94286784;-0,18311100;0,00128178
-99,86094784;-0,18311100;0,00128178
-99,77902784;4,39466500;0,00128178
-99,69710784;-0,18311100;0,00128178
-99,61518784;-0,18311100;0,00128178
-99,53326784;-0,18311100;0,00128178
-99,45134784;4,39466500;0,00128178
-99,36942784;-0,18311100;0,00128178
-99,28750784;4,39466500;0,00128178
-99,20558785;-0,18311100;0,00128178
-99,12366785;4,39466500;0,00128178
-99,04174785;-0,18311100;0,00128178
-98,95982785;-0,18311100;0,00128178
-98,87790785;4,39466500;0,00128178
-98,79598785;-0,18311100;0,00128178
-98,71406785;-0,18311100;0,00128178
-98,63214785;-0,18311100;0,01928770
-98,55022785;-0,18311100;0,00128178
-98,46830785;-0,18311100;0,01928770
-98,38638785;-0,18311100;0,00128178
-98,30446785;-0,18311100;0,00128178
-98,22254785;-0,18311100;0,00128178
-98,14062785;-0,18311100;0,00128178
-98,05870785;-0,18311100;0,00128178
-97,97678785;-0,18311100;0,00128178
-97,89486785;-0,18311100;0,00128178
-97,81294785;-0,18311100;0,01928770
-97,73102785;-0,18311100;0,00128178
-97,64910785;-0,18311100;0,01928770
-97,56718786;-0,18311100;0,00128178
-97,48526786;-0,18311100;0,00128178
-97,40334786;-0,18311100;0,00128178
-97,32142786;4,39466500;0,00128178
-97,23950786;-0,18311100;0,00128178
-97,15758786;-0,18311100;0,00128178
-97,07566786;4,39466500;0,00128178
-96,99374786;-0,18311100;0,00128178
-96,91182786;-0,18311100;0,00128178
-96,82990786;-0,18311100;0,00128178
-96,74798786;-0,18311100;0,00128178
-96,66606786;-0,18311100;0,00128178
-96,58414786;-0,18311100;0,00128178
-96,50222786;-0,18311100;0,00128178
-96,42030786;-0,18311100;0,00128178
-96,33838786;-0,18311100;0,00128178
-96,25646786;-0,18311100;0,00128178
-96,17454786;-0,18311100;0,00128178
-96,09262786;-0,18311100;0,00128178
-96,01070786;-0,18311100;0,00128178
-95,92878786;-0,18311100;0,00128178
-95,84686787;-0,18311100;0,01928770
-95,76494787;-0,18311100;0,00128178
-95,68302787;-0,18311100;0,00128178
-95,60110787;-0,18311100;0,00128178
-95,51918787;-0,18311100;0,00128178
-95,43726787;-0,18311100;0,00128178
-95,35534787;-0,18311100;0,00128178
-95,27342787;-0,18311100;0,00128178
-95,19150787;-0,18311100;0,00128178
-95,10958787;-0,18311100;0,00128178
-95,02766787;-0,18311100;0,01928770
-94,94574787;-0,18311100;0,00128178
-94,86382787;-0,18311100;0,00128178
-94,78190787;4,39466500;0,00128178
-94,69998787;-0,18311100;0,00128178
-94,61806787;-0,18311100;0,00128178
-94,53614787;-0,18311100;0,00128178
-94,45422787;-0,18311100;0,00128178
-94,37230787;-0,18311100;0,00128178
-94,29038787;-0,18311100;0,00128178
-94,20846788;-0,18311100;0,00128178
-94,12654788;-0,18311100;0,01928770
-94,04462788;4,39466500;-0,01672414
-93,96270788;-0,18311100;0,00128178
-93,88078788;-0,18311100;0,00128178
-93,79886788;-0,18311100;0,00128178
-93,71694788;-0,18311100;0,00128178
-93,63502788;-0,18311100;0,00128178
-93,55310788;-0,18311100;0,00128178
-93,47118788;-0,18311100;0,00128178
-93,38926788;-0,18311100;0,00128178
-93,30734788;-0,18311100;0,00128178
-93,22542788;-0,18311100;0,00128178
-93,14350788;-0,18311100;0,00128178
-93,06158788;-0,18311100;0,00128178
-92,97966788;-0,18311100;0,00128178
-92,89774788;4,39466500;0,01928770
-92,81582788;-0,18311100;0,01928770
-92,73390788;-0,18311100;0,00128178
-92,65198788;-0,18311100;0,00128178
-92,57006789;-0,18311100;0,01928770
-92,48814789;-0,18311100;0,00128178
-92,40622789;-0,18311100;0,01928770
-92,32430789;-0,18311100;0,00128178
-92,24238789;-0,18311100;0,00128178
-92,16046789;-0,18311100;0,00128178
-92,07854789;-0,18311100;0,00128178
-91,99662789;-0,18311100;0,00128178
-91,91470789;-0,18311100;0,00128178
-91,83278789;4,39466500;0,00128178
-91,75086789;-0,18311100;0,00128178
-91,66894789;-0,18311100;0,00128178
-91,58702789;-0,18311100;0,00128178
-91,50510789;-0,18311100;0,00128178
-91,42318789;-0,18311100;0,00128178
-91,34126789;-0,18311100;0,00128178
-91,25934789;-0,18311100;0,00128178
-91,17742789;-0,18311100;0,00128178
-91,09550789;-0,18311100;0,00128178
-91,01358789;-0,18311100;0,00128178
-90,93166790;-0,18311100;0,00128178
-90,84974790;-0,18311100;0,00128178
-90,76782790;4,39466500;0,01928770
-90,68590790;4,39466500;0,00128178
-90,60398790;-0,18311100;0,00128178
-90,52206790;4,39466500;0,01928770
-90,44014790;-0,18311100;0,00128178
-90,35822790;-0,18311100;0,00128178
-90,27630790;-0,18311100;0,00128178
-90,19438790;-0,18311100;0,00128178
-90,11246790;-0,18311100;0,00128178
-90,03054790;-0,18311100;0,00128178
-89,94862790;-0,18311100;0,00128178
-89,86670790;-0,18311100;0,00128178
-89,78478790;-0,18311100;0,01928770
-89,70286790;-0,18311100;0,00128178
-89,62094790;-0,18311100;0,00128178
-89,53902790;-0,18311100;0,00128178
-89,45710790;-0,18311100;0,00128178
-89,37518790;-0,18311100;0,00128178
-89,29326791;-0,18311100;0,01928770
-89,21134791;-0,18311100;0,00128178
-89,12942791;-0,18311100;0,00128178
-89,04750791;-0,18311100;0,00128178
-88,96558791;-0,18311100;0,00128178
-88,88366791;-0,18311100;0,01928770
-88,80174791;-0,18311100;0,00128178
-88,71982791;-0,18311100;0,00128178
-88,63790791;-0,18311100;0,00128178
-88,55598791;-0,18311100;0,00128178
-88,47406791;4,39466500;0,00128178
-88,39214791;-0,18311100;0,01928770
-88,31022791;-0,18311100;0,00128178
-88,22830791;-0,18311100;0,00128178
-88,14638791;-0,18311100;0,00128178
-88,06446791;-0,18311100;0,00128178
-87,98254791;-0,18311100;0,00128178
-87,90062791;-0,18311100;0,00128178
-87,81870791;-0,18311100;0,00128178
-87,73678791;-0,18311100;0,01928770
-87,65486792;-0,18311100;0,00128178
-87,57294792;-0,18311100;0,00128178
-87,49102792;-4,74562800;0,00128178
-87,40910792;-0,18311100;0,00128178
-87,32718792;-0,18311100;0,00128178
