Temps;Canal B
(ms);(V)

-488,89854550;0,00762963
-488,57086551;0,00762963
-488,24318551;0,00762963
-487,91550551;0,00762963
-487,58782551;0,00762963
-487,26014551;0,00762963
-486,93246552;0,00762963
-486,60478552;0,00762963
-486,27710552;0,00762963
-485,94942552;0,00762963
-485,62174552;0,00762963
-485,29406553;0,00762963
-484,96638553;0,00762963
-484,63870553;-0,03707999
-484,31102553;0,00762963
-483,98334553;0,00762963
-483,65566554;0,00762963
-483,32798554;0,00762963
-483,00030554;0,00762963
-482,67262554;0,00762963
-482,34494554;0,00762963
-482,01726555;0,00762963
-481,68958555;0,00762963
-481,36190555;0,00762963
-481,03422555;0,00762963
-480,70654555;0,00762963
-480,37886556;0,00762963
-480,05118556;0,00762963
-479,72350556;0,00762963
-479,39582556;0,00762963
-479,06814556;0,00762963
-478,74046557;0,00762963
-478,41278557;0,00762963
-478,08510557;-0,03707999
-477,75742557;0,00762963
-477,42974557;0,00762963
-477,10206558;0,00762963
-476,77438558;0,00762963
-476,44670558;0,00762963
-476,11902558;0,00762963
-475,79134558;-0,03707999
-475,46366559;0,00762963
-475,13598559;0,00762963
-474,80830559;-0,03707999
-474,48062559;0,00762963
-474,15294559;-0,03707999
-473,82526560;0,00762963
-473,49758560;0,00762963
-473,16990560;0,00762963
-472,84222560;0,00762963
-472,51454560;-0,03707999
-472,18686561;0,00762963
-471,85918561;0,00762963
-471,53150561;0,00762963
-471,20382561;0,00762963
-470,87614561;0,00762963
-470,54846562;0,00762963
-470,22078562;0,00762963
-469,89310562;0,00762963
-469,56542562;0,00762963
-469,23774562;0,00762963
-468,91006563;0,00762963
-468,58238563;0,00762963
-468,25470563;0,00762963
-467,92702563;0,00762963
-467,59934563;0,00762963
-467,27166564;-0,03707999
-466,94398564;-0,03707999
-466,61630564;0,00762963
-466,28862564;0,00762963
-465,96094564;0,00762963
-465,63326565;0,00762963
-465,30558565;0,00762963
-464,97790565;0,00762963
-464,65022565;-0,03707999
-464,32254565;0,00762963
-463,99486565;0,00762963
-463,66718566;0,00762963
-463,33950566;0,00762963
-463,01182566;0,00762963
-462,68414566;0,00762963
-462,35646566;0,00762963
-462,02878567;0,00762963
-461,70110567;0,00762963
-461,37342567;0,00762963
-461,04574567;0,00762963
-460,71806567;0,00762963
-460,39038568;0,00762963
-460,06270568;0,00762963
-459,73502568;0,00762963
-459,40734568;0,00762963
-459,07966568;0,00762963
-458,75198569;-0,03707999
-458,42430569;0,00762963
-458,09662569;0,00762963
-457,76894569;0,00762963
-457,44126569;0,00762963
-457,11358570;0,00762963
-456,78590570;0,00762963
-456,45822570;-0,03707999
-456,13054570;0,00762963
-455,80286570;0,00762963
-455,47518571;0,00762963
-455,14750571;0,00762963
-454,81982571;0,00762963
-454,49214571;0,00762963
-454,16446571;0,00762963
-453,83678572;0,00762963
-453,50910572;0,00762963
-453,18142572;0,00762963
-452,85374572;-0,03707999
-452,52606572;0,00762963
-452,19838573;-0,03707999
-451,87070573;0,00762963
-451,54302573;0,00762963
-451,21534573;0,00762963
-450,88766573;0,00762963
