Temps;Canal A;Canal B
(ms);(mV);(V)

-488,76959085;-0,18311100;4,94171000
-488,44191086;-0,18311100;4,89684700
-488,11423086;-0,18311100;4,94171000
-487,78655086;-0,18311100;4,94171000
-487,45887086;-0,18311100;4,94171000
-487,13119086;-0,18311100;4,94171000
-486,80351087;4,39466500;4,94171000
-486,47583087;-0,18311100;4,94171000
-486,14815087;-0,18311100;4,94171000
-485,82047087;-0,18311100;4,94171000
-485,49279087;-0,18311100;4,94171000
-485,16511088;-0,18311100;4,94171000
-484,83743088;-0,18311100;4,94171000
-484,50975088;-0,18311100;4,94171000
-484,18207088;-0,18311100;4,94171000
-483,85439088;-0,18311100;4,94171000
-483,52671089;4,39466500;4,94171000
-483,19903089;4,39466500;4,94171000
-482,87135089;-0,18311100;4,94171000
-482,54367089;-0,18311100;4,94171000
-482,21599089;-0,18311100;4,94171000
-481,88831090;-0,18311100;4,94171000
-481,56063090;-0,18311100;4,94171000
-481,23295090;-0,18311100;4,94171000
-480,90527090;-0,18311100;4,94171000
-480,57759090;-0,18311100;4,89684700
-480,24991091;-0,18311100;4,94171000
-479,92223091;-0,18311100;4,94171000
-479,59455091;-0,18311100;4,94171000
-479,26687091;-0,18311100;4,94171000
-478,93919091;-0,18311100;4,94171000
-478,61151092;-0,18311100;4,94171000
-478,28383092;-0,18311100;4,94171000
-477,95615092;-0,18311100;4,94171000
-477,62847092;-0,18311100;4,94171000
-477,30079092;-0,18311100;4,94171000
-476,97311093;-0,18311100;4,94171000
-476,64543093;-0,18311100;4,89684700
-476,31775093;-0,18311100;4,94171000
-475,99007093;-0,18311100;4,94171000
-475,66239093;-0,18311100;4,94171000
-475,33471094;-0,18311100;4,94171000
-475,00703094;-0,18311100;4,94171000
-474,67935094;-0,18311100;4,94171000
-474,35167094;-0,18311100;4,94171000
-474,02399094;-0,18311100;4,94171000
-473,69631095;-0,18311100;4,94171000
-473,36863095;-0,18311100;4,94171000
-473,04095095;-0,18311100;4,94171000
-472,71327095;-0,18311100;4,94171000
-472,38559095;-0,18311100;4,94171000
-472,05791096;-0,18311100;4,94171000
-471,73023096;-0,18311100;4,94171000
-471,40255096;-0,18311100;4,94171000
-471,07487096;-0,18311100;4,94171000
-470,74719096;4,39466500;4,94171000
-470,41951097;-0,18311100;4,94171000
-470,09183097;-0,18311100;4,94171000
-469,76415097;-0,18311100;4,94171000
-469,43647097;-0,18311100;4,94171000
-469,10879097;-0,18311100;4,89684700
-468,78111098;-0,18311100;4,94171000
-468,45343098;-0,18311100;4,94171000
-468,12575098;-0,18311100;4,89684700
-467,79807098;-0,18311100;4,94171000
-467,47039098;-0,18311100;4,94171000
-467,14271099;-0,18311100;4,94171000
-466,81503099;-0,18311100;4,94171000
-466,48735099;-0,18311100;4,94171000
-466,15967099;-0,18311100;4,94171000
-465,83199099;-0,18311100;4,94171000
-465,50431100;-0,18311100;4,94171000
-465,17663100;-0,18311100;4,94171000
-464,84895100;-0,18311100;4,94171000
-464,52127100;-0,18311100;4,94171000
-464,19359100;-0,18311100;4,94171000
-463,86591101;-0,18311100;4,94171000
-463,53823101;-0,18311100;4,94171000
-463,21055101;-0,18311100;4,94171000
-462,88287101;-0,18311100;4,94171000
-462,55519101;-0,18311100;4,94171000
-462,22751102;-0,18311100;4,94171000
-461,89983102;-0,18311100;4,94171000
-461,57215102;-0,18311100;4,94171000
-461,24447102;-0,18311100;4,94171000
-460,91679102;-0,18311100;4,94171000
-460,58911103;-0,18311100;4,94171000
-460,26143103;-0,18311100;4,94171000
-459,93375103;-0,18311100;4,94171000
-459,60607103;-0,18311100;4,94171000
-459,27839103;-0,18311100;4,94171000
-458,95071104;-0,18311100;4,94171000
-458,62303104;-0,18311100;4,94171000
-458,29535104;-0,18311100;4,94171000
-457,96767104;-0,18311100;4,94171000
-457,63999104;-0,18311100;4,94171000
-457,31231105;-0,18311100;4,94171000
-456,98463105;-0,18311100;4,94171000
-456,65695105;-0,18311100;4,89684700
-456,32927105;-0,18311100;4,94171000
-456,00159105;-0,18311100;4,94171000
-455,67391106;-0,18311100;4,94171000
-455,34623106;-0,18311100;4,94171000
-455,01855106;-0,18311100;4,89684700
-454,69087106;-0,18311100;4,94171000
-454,36319106;-0,18311100;4,94171000
-454,03551107;-0,18311100;4,94171000
-453,70783107;-0,18311100;4,94171000
-453,38015107;-0,18311100;4,94171000
-453,05247107;-0,18311100;4,94171000
-452,72479107;-0,18311100;4,94171000
-452,39711108;-0,18311100;4,94171000
-452,06943108;4,39466500;4,89684700
-451,74175108;-0,18311100;4,94171000
-451,41407108;-0,18311100;4,94171000
-451,08639108;-0,18311100;4,94171000
-450,75871109;-0,18311100;4,89684700
-450,43103109;-0,18311100;4,94171000
-450,10335109;-0,18311100;4,94171000
-449,77567109;-0,18311100;4,94171000
-449,44799109;-0,18311100;4,94171000
-449,12031110;-0,18311100;4,94171000
-448,79263110;-0,18311100;4,94171000
-448,46495110;-0,18311100;4,94171000
-448,13727110;4,39466500;4,94171000
-447,80959110;-0,18311100;4,94171000
-447,48191111;-0,18311100;4,94171000
-447,15423111;-0,18311100;4,94171000
-446,82655111;-0,18311100;4,94171000
-446,49887111;-0,18311100;4,94171000
-446,17119111;-0,18311100;4,94171000
-445,84351112;-0,18311100;4,94171000
-445,51583112;-0,18311100;4,94171000
-445,18815112;4,39466500;4,94171000
-444,86047112;-0,18311100;4,94171000
-444,53279112;-0,18311100;4,94171000
-444,20511113;-0,18311100;4,94171000
-443,87743113;-0,18311100;4,94171000
-443,54975113;-0,18311100;4,94171000
-443,22207113;-0,18311100;4,94171000
-442,89439113;-0,18311100;4,94171000
-442,56671114;-0,18311100;4,94171000
-442,23903114;-0,18311100;4,94171000
-441,91135114;4,39466500;4,94171000
-441,58367114;-0,18311100;4,94171000
-441,25599114;-0,18311100;4,94171000
-440,92831115;-0,18311100;4,94171000
-440,60063115;-0,18311100;4,94171000
-440,27295115;-0,18311100;4,94171000
-439,94527115;-0,18311100;4,94171000
-439,61759115;-0,18311100;4,94171000
-439,28991116;-0,18311100;4,94171000
-438,96223116;-0,18311100;4,94171000
-438,63455116;4,39466500;4,94171000
-438,30687116;-0,18311100;4,94171000
-437,97919116;-0,18311100;4,94171000
-437,65151117;-0,18311100;4,94171000
