Temps;Canal A;Canal B
(ms);(mV);(V)

-488,60493302;-0,18311100;0,00762963
-488,27725303;-0,18311100;0,00762963
-487,94957303;-0,18311100;0,00762963
-487,62189303;-0,18311100;0,00762963
-487,29421303;4,39466500;0,00762963
-486,96653303;-0,18311100;0,00762963
-486,63885304;-0,18311100;0,00762963
-486,31117304;-0,18311100;0,00762963
-485,98349304;-0,18311100;0,00762963
-485,65581304;-0,18311100;0,00762963
-485,32813304;-0,18311100;0,00762963
-485,00045305;-0,18311100;0,00762963
-484,67277305;-0,18311100;0,00762963
-484,34509305;-0,18311100;0,00762963
-484,01741305;-0,18311100;0,00762963
-483,68973305;4,39466500;0,00762963
-483,36205306;-0,18311100;0,00762963
-483,03437306;-0,18311100;0,00762963
-482,70669306;-0,18311100;0,00762963
-482,37901306;-0,18311100;0,00762963
-482,05133306;4,39466500;0,00762963
-481,72365307;-0,18311100;0,00762963
-481,39597307;-0,18311100;0,00762963
-481,06829307;-0,18311100;0,00762963
-480,74061307;-0,18311100;0,00762963
-480,41293307;-0,18311100;0,00762963
-480,08525308;4,39466500;0,00762963
-479,75757308;-0,18311100;0,00762963
-479,42989308;4,39466500;0,00762963
-479,10221308;-0,18311100;0,00762963
-478,77453308;-0,18311100;0,00762963
-478,44685309;-0,18311100;0,00762963
-478,11917309;-0,18311100;0,00762963
-477,79149309;-0,18311100;0,00762963
-477,46381309;-0,18311100;0,00762963
-477,13613309;-0,18311100;0,00762963
-476,80845310;-0,18311100;0,00762963
-476,48077310;-0,18311100;0,00762963
-476,15309310;-0,18311100;0,00762963
-475,82541310;-0,18311100;0,00762963
-475,49773310;-0,18311100;0,00762963
-475,17005311;-0,18311100;0,00762963
-474,84237311;4,39466500;0,00762963
-474,51469311;-0,18311100;0,00762963
-474,18701311;-0,18311100;0,00762963
-473,85933311;-0,18311100;0,00762963
-473,53165312;-0,18311100;0,00762963
-473,20397312;-0,18311100;0,00762963
-472,87629312;4,39466500;0,00762963
-472,54861312;-0,18311100;0,00762963
-472,22093312;-0,18311100;0,00762963
-471,89325313;-0,18311100;0,00762963
-471,56557313;-0,18311100;0,00762963
-471,23789313;-0,18311100;0,00762963
-470,91021313;-0,18311100;0,00762963
-470,58253313;-0,18311100;0,00762963
-470,25485313;4,39466500;0,00762963
-469,92717314;4,39466500;0,00762963
-469,59949314;-0,18311100;0,00762963
-469,27181314;-0,18311100;0,00762963
-468,94413314;-0,18311100;0,00762963
-468,61645314;-0,18311100;0,00762963
-468,28877315;4,39466500;0,00762963
-467,96109315;-0,18311100;0,00762963
-467,63341315;-0,18311100;0,00762963
-467,30573315;-0,18311100;0,00762963
-466,97805315;4,39466500;0,00762963
-466,65037316;-0,18311100;0,00762963
-466,32269316;-0,18311100;0,00762963
-465,99501316;-0,18311100;0,00762963
-465,66733316;-0,18311100;0,00762963
-465,33965316;-0,18311100;0,00762963
-465,01197317;-0,18311100;-0,03707999
-464,68429317;-0,18311100;0,00762963
-464,35661317;-0,18311100;0,00762963
-464,02893317;-0,18311100;0,00762963
-463,70125317;-0,18311100;0,00762963
-463,37357318;-0,18311100;0,00762963
-463,04589318;-0,18311100;0,00762963
-462,71821318;-0,18311100;0,00762963
-462,39053318;-0,18311100;0,00762963
-462,06285318;-0,18311100;0,00762963
-461,73517319;-0,18311100;0,00762963
-461,40749319;-0,18311100;0,00762963
-461,07981319;-0,18311100;0,00762963
-460,75213319;-0,18311100;0,00762963
-460,42445319;-0,18311100;0,00762963
-460,09677320;-0,18311100;0,00762963
-459,76909320;-0,18311100;0,00762963
-459,44141320;-0,18311100;0,00762963
-459,11373320;-0,18311100;0,00762963
-458,78605320;-0,18311100;0,00762963
-458,45837321;-0,18311100;0,00762963
-458,13069321;-0,18311100;0,00762963
-457,80301321;-0,18311100;0,00762963
-457,47533321;-0,18311100;0,00762963
-457,14765321;-0,18311100;0,00762963
-456,81997322;-0,18311100;0,00762963
-456,49229322;-0,18311100;0,00762963
-456,16461322;4,39466500;0,00762963
-455,83693322;-0,18311100;0,00762963
-455,50925322;-0,18311100;0,00762963
-455,18157323;-0,18311100;0,00762963
-454,85389323;-0,18311100;0,00762963
-454,52621323;-0,18311100;0,00762963
-454,19853323;-0,18311100;0,00762963
-453,87085323;-0,18311100;0,00762963
-453,54317324;-0,18311100;0,00762963
-453,21549324;-0,18311100;0,00762963
-452,88781324;-0,18311100;0,00762963
-452,56013324;-0,18311100;0,00762963
-452,23245324;-0,18311100;0,00762963
-451,90477325;-0,18311100;0,00762963
-451,57709325;-0,18311100;0,00762963
-451,24941325;-0,18311100;0,00762963
-450,92173325;-0,18311100;0,00762963
-450,59405325;-0,18311100;0,00762963
-450,26637326;-0,18311100;0,00762963
-449,93869326;-0,18311100;0,00762963
-449,61101326;-0,18311100;0,00762963
-449,28333326;-0,18311100;0,00762963
-448,95565326;-0,18311100;0,00762963
-448,62797327;-0,18311100;0,00762963
-448,30029327;-0,18311100;0,00762963
-447,97261327;-0,18311100;0,00762963
-447,64493327;-0,18311100;0,00762963
-447,31725327;-0,18311100;0,00762963
-446,98957328;-0,18311100;0,00762963
-446,66189328;-0,18311100;0,00762963
-446,33421328;-0,18311100;0,00762963
-446,00653328;-0,18311100;-0,03707999
-445,67885328;4,39466500;0,00762963
-445,35117329;-0,18311100;0,00762963
-445,02349329;-0,18311100;0,00762963
-444,69581329;-0,18311100;0,00762963
-444,36813329;-0,18311100;0,00762963
-444,04045329;4,39466500;0,00762963
-443,71277330;-0,18311100;0,00762963
-443,38509330;4,39466500;0,00762963
-443,05741330;-0,18311100;0,00762963
-442,72973330;-0,18311100;0,00762963
-442,40205330;4,39466500;0,00762963
-442,07437331;-0,18311100;0,00762963
-441,74669331;-0,18311100;0,00762963
-441,41901331;-0,18311100;0,00762963
-441,09133331;-0,18311100;0,00762963
-440,76365331;-0,18311100;0,00762963
-440,43597332;-0,18311100;0,00762963
-440,10829332;-0,18311100;0,00762963
-439,78061332;-0,18311100;0,00762963
-439,45293332;-0,18311100;0,00762963
-439,12525332;-0,18311100;0,00762963
-438,79757333;-0,18311100;0,00762963
-438,46989333;-0,18311100;0,00762963
-438,14221333;-0,18311100;0,00762963
-437,81453333;4,39466500;0,00762963
-437,48685333;-0,18311100;0,00762963
-437,15917334;-0,18311100;0,00762963
