Temps;Canal A;Canal B
(ms);(mV);(V)

-488,65985870;4,39466500;0,00762963
-488,33217871;-0,18311100;0,00762963
-488,00449871;-0,18311100;0,00762963
-487,67681871;-0,18311100;0,00762963
-487,34913871;4,39466500;0,00762963
-487,02145871;-0,18311100;0,00762963
-486,69377872;-0,18311100;0,00762963
-486,36609872;-0,18311100;0,00762963
-486,03841872;-0,18311100;0,00762963
-485,71073872;-0,18311100;0,00762963
-485,38305872;-0,18311100;0,00762963
-485,05537873;-0,18311100;0,00762963
-484,72769873;-0,18311100;0,00762963
-484,40001873;-0,18311100;0,00762963
-484,07233873;-0,18311100;0,00762963
-483,74465873;-0,18311100;0,00762963
-483,41697874;-0,18311100;0,00762963
-483,08929874;-0,18311100;0,00762963
-482,76161874;-0,18311100;0,00762963
-482,43393874;-0,18311100;0,00762963
-482,10625874;-0,18311100;0,00762963
-481,77857875;-0,18311100;0,00762963
-481,45089875;-0,18311100;-0,03707999
-481,12321875;-0,18311100;0,00762963
-480,79553875;4,39466500;0,00762963
-480,46785875;-0,18311100;0,00762963
-480,14017876;-0,18311100;0,00762963
-479,81249876;-0,18311100;0,00762963
-479,48481876;-0,18311100;0,00762963
-479,15713876;-0,18311100;0,00762963
-478,82945876;-0,18311100;0,00762963
-478,50177877;-0,18311100;0,00762963
-478,17409877;-0,18311100;0,00762963
-477,84641877;4,39466500;0,00762963
-477,51873877;-0,18311100;0,00762963
-477,19105877;-0,18311100;0,00762963
-476,86337878;-0,18311100;0,00762963
-476,53569878;-0,18311100;0,00762963
-476,20801878;-0,18311100;-0,03707999
-475,88033878;4,39466500;0,00762963
-475,55265878;-0,18311100;0,00762963
-475,22497879;-0,18311100;0,00762963
-474,89729879;-0,18311100;0,00762963
-474,56961879;-0,18311100;0,00762963
-474,24193879;-0,18311100;0,00762963
-473,91425879;4,39466500;0,00762963
-473,58657880;-0,18311100;0,00762963
-473,25889880;-0,18311100;0,00762963
-472,93121880;-0,18311100;0,00762963
-472,60353880;-0,18311100;0,00762963
-472,27585880;4,39466500;-0,03707999
-471,94817881;-0,18311100;0,00762963
-471,62049881;-0,18311100;0,00762963
-471,29281881;-0,18311100;-0,03707999
-470,96513881;-0,18311100;0,00762963
-470,63745881;-0,18311100;0,00762963
-470,30977882;-0,18311100;0,00762963
-469,98209882;4,39466500;0,00762963
-469,65441882;4,39466500;0,00762963
-469,32673882;-0,18311100;0,00762963
-468,99905882;4,39466500;0,00762963
-468,67137883;-0,18311100;0,00762963
-468,34369883;-0,18311100;0,00762963
-468,01601883;4,39466500;0,00762963
-467,68833883;-0,18311100;0,00762963
-467,36065883;-0,18311100;0,00762963
-467,03297884;-0,18311100;0,00762963
-466,70529884;-0,18311100;0,00762963
-466,37761884;-0,18311100;0,00762963
-466,04993884;-0,18311100;0,00762963
-465,72225884;-0,18311100;0,00762963
-465,39457885;-0,18311100;-0,03707999
-465,06689885;-0,18311100;0,00762963
-464,73921885;-0,18311100;0,00762963
-464,41153885;-0,18311100;0,00762963
-464,08385885;-0,18311100;0,00762963
-463,75617885;4,39466500;0,00762963
-463,42849886;-0,18311100;0,00762963
-463,10081886;4,39466500;0,00762963
-462,77313886;4,39466500;0,00762963
-462,44545886;-0,18311100;0,00762963
-462,11777886;-0,18311100;0,00762963
-461,79009887;-0,18311100;0,00762963
-461,46241887;-0,18311100;0,00762963
-461,13473887;-0,18311100;-0,03707999
-460,80705887;-0,18311100;0,00762963
-460,47937887;-0,18311100;0,00762963
-460,15169888;4,39466500;0,00762963
-459,82401888;-0,18311100;0,00762963
-459,49633888;-0,18311100;0,00762963
-459,16865888;-0,18311100;0,00762963
-458,84097888;-0,18311100;0,00762963
-458,51329889;-0,18311100;-0,03707999
-458,18561889;-0,18311100;0,00762963
-457,85793889;-0,18311100;0,00762963
-457,53025889;-0,18311100;0,00762963
-457,20257889;4,39466500;0,00762963
-456,87489890;4,39466500;0,00762963
-456,54721890;-0,18311100;0,00762963
-456,21953890;-0,18311100;-0,03707999
-455,89185890;-0,18311100;-0,03707999
-455,56417890;-0,18311100;0,00762963
-455,23649891;-0,18311100;0,00762963
-454,90881891;-0,18311100;0,00762963
-454,58113891;-0,18311100;0,00762963
-454,25345891;-0,18311100;0,00762963
-453,92577891;-0,18311100;0,00762963
-453,59809892;-0,18311100;0,00762963
-453,27041892;-0,18311100;0,00762963
-452,94273892;-0,18311100;0,00762963
-452,61505892;-0,18311100;0,00762963
-452,28737892;-0,18311100;0,00762963
-451,95969893;-0,18311100;0,00762963
-451,63201893;-0,18311100;0,00762963
-451,30433893;-0,18311100;0,00762963
-450,97665893;-0,18311100;0,00762963
-450,64897893;-0,18311100;0,00762963
-450,32129894;-0,18311100;0,00762963
-449,99361894;-0,18311100;0,00762963
-449,66593894;-0,18311100;0,00762963
-449,33825894;-0,18311100;0,00762963
-449,01057894;-0,18311100;0,00762963
-448,68289895;-0,18311100;0,00762963
-448,35521895;-0,18311100;0,00762963
-448,02753895;-0,18311100;0,00762963
-447,69985895;-0,18311100;0,00762963
-447,37217895;4,39466500;0,00762963
-447,04449896;-0,18311100;-0,03707999
-446,71681896;-0,18311100;0,00762963
-446,38913896;-0,18311100;0,00762963
-446,06145896;-0,18311100;0,00762963
-445,73377896;-0,18311100;0,00762963
-445,40609897;-0,18311100;0,00762963
-445,07841897;-0,18311100;0,00762963
-444,75073897;-0,18311100;0,00762963
-444,42305897;-0,18311100;0,00762963
-444,09537897;-0,18311100;0,00762963
-443,76769898;4,39466500;0,00762963
-443,44001898;-0,18311100;0,00762963
-443,11233898;-0,18311100;0,00762963
-442,78465898;-0,18311100;0,00762963
-442,45697898;-0,18311100;0,00762963
-442,12929899;-0,18311100;0,00762963
-441,80161899;-0,18311100;0,00762963
-441,47393899;-0,18311100;-0,03707999
-441,14625899;-0,18311100;0,00762963
-440,81857899;-0,18311100;0,00762963
-440,49089900;-0,18311100;0,00762963
-440,16321900;-0,18311100;0,00762963
-439,83553900;-0,18311100;0,00762963
-439,50785900;-0,18311100;0,00762963
-439,18017900;-0,18311100;0,00762963
-438,85249901;-0,18311100;0,00762963
-438,52481901;-0,18311100;0,00762963
-438,19713901;-0,18311100;0,00762963
-437,86945901;-0,18311100;0,00762963
-437,54177901;-0,18311100;0,00762963
