Temps;Canal A;Canal B
(ms);(mV);(V)

-488,66960406;-0,18311100;0,00762963
-488,34192407;4,39466500;0,00762963
-488,01424407;-0,18311100;0,00762963
-487,68656407;-0,18311100;0,00762963
-487,35888407;-0,18311100;0,00762963
-487,03120407;-0,18311100;0,00762963
-486,70352407;-0,18311100;0,00762963
-486,37584408;-0,18311100;0,00762963
-486,04816408;-0,18311100;0,00762963
-485,72048408;-0,18311100;0,00762963
-485,39280408;4,39466500;0,00762963
-485,06512408;-0,18311100;0,00762963
-484,73744409;-0,18311100;0,00762963
-484,40976409;-0,18311100;0,00762963
-484,08208409;-0,18311100;0,00762963
-483,75440409;-0,18311100;0,00762963
-483,42672409;-0,18311100;0,00762963
-483,09904410;-0,18311100;0,00762963
-482,77136410;-0,18311100;0,00762963
-482,44368410;-0,18311100;0,00762963
-482,11600410;-0,18311100;0,00762963
-481,78832410;-0,18311100;0,00762963
-481,46064411;-0,18311100;0,00762963
-481,13296411;-0,18311100;0,00762963
-480,80528411;-0,18311100;0,00762963
-480,47760411;-0,18311100;0,00762963
-480,14992411;-0,18311100;0,00762963
-479,82224412;-0,18311100;0,00762963
-479,49456412;-0,18311100;0,00762963
-479,16688412;-0,18311100;0,00762963
-478,83920412;-0,18311100;0,00762963
-478,51152412;4,39466500;0,00762963
-478,18384413;4,39466500;-0,03707999
-477,85616413;-0,18311100;0,00762963
-477,52848413;4,39466500;0,00762963
-477,20080413;-0,18311100;0,00762963
-476,87312413;-0,18311100;0,00762963
-476,54544414;-0,18311100;0,00762963
-476,21776414;-0,18311100;0,00762963
-475,89008414;-0,18311100;0,00762963
-475,56240414;-0,18311100;0,00762963
-475,23472414;-0,18311100;0,00762963
-474,90704415;-0,18311100;0,00762963
-474,57936415;-0,18311100;0,00762963
-474,25168415;-0,18311100;0,00762963
-473,92400415;-0,18311100;0,00762963
-473,59632415;4,39466500;0,00762963
-473,26864416;-0,18311100;0,00762963
-472,94096416;-0,18311100;0,00762963
-472,61328416;-0,18311100;0,00762963
-472,28560416;-0,18311100;0,00762963
-471,95792416;-0,18311100;0,00762963
-471,63024417;-0,18311100;0,00762963
-471,30256417;-0,18311100;0,00762963
-470,97488417;-0,18311100;0,00762963
-470,64720417;-0,18311100;0,00762963
-470,31952417;4,39466500;0,00762963
-469,99184418;-0,18311100;0,00762963
-469,66416418;4,39466500;0,00762963
-469,33648418;-0,18311100;0,00762963
-469,00880418;-0,18311100;0,00762963
-468,68112418;4,39466500;0,00762963
-468,35344419;-0,18311100;0,00762963
-468,02576419;-0,18311100;0,00762963
-467,69808419;-0,18311100;-0,03707999
-467,37040419;-0,18311100;0,00762963
-467,04272419;-0,18311100;0,00762963
-466,71504420;-0,18311100;0,00762963
-466,38736420;-0,18311100;0,00762963
-466,05968420;-0,18311100;0,00762963
-465,73200420;-0,18311100;0,00762963
-465,40432420;-0,18311100;0,00762963
-465,07664421;-0,18311100;0,00762963
-464,74896421;-0,18311100;0,00762963
-464,42128421;-0,18311100;0,00762963
-464,09360421;-0,18311100;0,00762963
-463,76592421;-0,18311100;0,00762963
-463,43824422;4,39466500;0,00762963
-463,11056422;-0,18311100;0,00762963
-462,78288422;-0,18311100;0,00762963
-462,45520422;4,39466500;0,00762963
-462,12752422;-0,18311100;0,00762963
-461,79984423;-0,18311100;0,00762963
-461,47216423;-0,18311100;0,00762963
-461,14448423;4,39466500;0,00762963
-460,81680423;-0,18311100;0,00762963
-460,48912423;-0,18311100;0,00762963
-460,16144424;-0,18311100;-0,03707999
-459,83376424;-0,18311100;0,00762963
-459,50608424;-0,18311100;0,00762963
-459,17840424;-0,18311100;-0,03707999
-458,85072424;-0,18311100;-0,03707999
-458,52304425;4,39466500;0,00762963
-458,19536425;-0,18311100;0,00762963
-457,86768425;4,39466500;0,00762963
-457,54000425;-0,18311100;0,00762963
-457,21232425;-0,18311100;0,00762963
-456,88464426;-0,18311100;0,00762963
-456,55696426;-0,18311100;0,00762963
-456,22928426;-0,18311100;0,00762963
-455,90160426;-0,18311100;-0,03707999
-455,57392426;-0,18311100;-0,03707999
-455,24624427;-0,18311100;0,00762963
-454,91856427;-0,18311100;0,00762963
-454,59088427;-0,18311100;0,00762963
-454,26320427;4,39466500;0,00762963
-453,93552427;-0,18311100;0,00762963
-453,60784428;-0,18311100;0,00762963
-453,28016428;-0,18311100;0,00762963
-452,95248428;4,39466500;0,00762963
-452,62480428;-0,18311100;0,00762963
-452,29712428;-0,18311100;0,00762963
-451,96944429;-0,18311100;0,00762963
-451,64176429;-0,18311100;-0,03707999
-451,31408429;-0,18311100;0,00762963
-450,98640429;4,39466500;0,00762963
-450,65872429;-0,18311100;0,00762963
-450,33104430;4,39466500;0,00762963
-450,00336430;4,39466500;0,00762963
-449,67568430;-0,18311100;0,00762963
-449,34800430;-0,18311100;0,00762963
-449,02032430;-0,18311100;0,00762963
-448,69264431;-0,18311100;0,00762963
-448,36496431;-0,18311100;0,00762963
-448,03728431;-0,18311100;0,00762963
-447,70960431;4,39466500;0,00762963
-447,38192431;4,39466500;0,00762963
-447,05424432;-0,18311100;0,00762963
-446,72656432;-0,18311100;0,00762963
-446,39888432;-0,18311100;0,00762963
-446,07120432;-0,18311100;0,00762963
-445,74352432;-0,18311100;0,00762963
-445,41584433;-0,18311100;0,00762963
-445,08816433;-0,18311100;-0,03707999
-444,76048433;-4,74562800;0,00762963
-444,43280433;-0,18311100;0,00762963
-444,10512433;-0,18311100;-0,03707999
-443,77744434;-0,18311100;0,00762963
-443,44976434;4,39466500;0,00762963
-443,12208434;4,39466500;0,00762963
-442,79440434;-0,18311100;-0,03707999
-442,46672434;-0,18311100;0,00762963
-442,13904435;-0,18311100;0,00762963
-441,81136435;-0,18311100;0,00762963
-441,48368435;-0,18311100;0,00762963
-441,15600435;-0,18311100;0,00762963
-440,82832435;-0,18311100;0,00762963
-440,50064436;-0,18311100;0,00762963
-440,17296436;-0,18311100;0,00762963
-439,84528436;-0,18311100;-0,03707999
-439,51760436;-0,18311100;0,00762963
-439,18992436;4,39466500;0,00762963
-438,86224437;-0,18311100;-0,03707999
-438,53456437;4,39466500;-0,03707999
-438,20688437;-0,18311100;0,00762963
-437,87920437;4,39466500;0,00762963
-437,55152437;-0,18311100;0,00762963
-437,22384438;-0,18311100;-0,03707999
