Temps;Canal A;Canal B
(ms);(mV);(V)

-488,75859380;-0,18311100;-0,03707999
-488,43091380;-0,18311100;0,00762963
-488,10323380;-0,18311100;0,00762963
-487,77555380;-0,18311100;-0,03707999
-487,44787381;-0,18311100;0,00762963
-487,12019381;-0,18311100;0,00762963
-486,79251381;-0,18311100;0,00762963
-486,46483381;4,39466500;0,00762963
-486,13715381;-0,18311100;0,00762963
-485,80947382;-0,18311100;0,00762963
-485,48179382;-0,18311100;0,00762963
-485,15411382;-0,18311100;0,00762963
-484,82643382;-0,18311100;-0,03707999
-484,49875382;-0,18311100;0,00762963
-484,17107383;-0,18311100;-0,03707999
-483,84339383;-0,18311100;-0,03707999
-483,51571383;-0,18311100;0,00762963
-483,18803383;-0,18311100;0,00762963
-482,86035383;4,39466500;0,00762963
-482,53267384;4,39466500;0,00762963
-482,20499384;-0,18311100;0,00762963
-481,87731384;-0,18311100;0,00762963
-481,54963384;-0,18311100;0,00762963
-481,22195384;4,39466500;0,00762963
-480,89427385;-0,18311100;0,00762963
-480,56659385;-0,18311100;0,00762963
-480,23891385;-0,18311100;0,00762963
-479,91123385;-0,18311100;0,00762963
-479,58355385;-0,18311100;0,00762963
-479,25587386;-0,18311100;0,00762963
-478,92819386;4,39466500;0,00762963
-478,60051386;-0,18311100;0,00762963
-478,27283386;-0,18311100;0,00762963
-477,94515386;-0,18311100;0,00762963
-477,61747387;-0,18311100;0,00762963
-477,28979387;-0,18311100;0,00762963
-476,96211387;-0,18311100;0,00762963
-476,63443387;-0,18311100;0,00762963
-476,30675387;-0,18311100;0,00762963
-475,97907388;-0,18311100;0,00762963
-475,65139388;-0,18311100;-0,03707999
-475,32371388;4,39466500;0,00762963
-474,99603388;-0,18311100;-0,03707999
-474,66835388;-0,18311100;0,00762963
-474,34067389;-0,18311100;0,00762963
-474,01299389;4,39466500;0,00762963
-473,68531389;-0,18311100;0,00762963
-473,35763389;4,39466500;0,00762963
-473,02995389;-0,18311100;0,00762963
-472,70227390;-0,18311100;0,00762963
-472,37459390;-0,18311100;0,00762963
-472,04691390;-0,18311100;-0,03707999
-471,71923390;-0,18311100;0,00762963
-471,39155390;-0,18311100;0,00762963
-471,06387391;-0,18311100;0,00762963
-470,73619391;-0,18311100;0,00762963
-470,40851391;-0,18311100;0,00762963
-470,08083391;4,39466500;0,00762963
-469,75315391;-0,18311100;0,00762963
-469,42547392;-0,18311100;-0,03707999
-469,09779392;-0,18311100;0,00762963
-468,77011392;-0,18311100;0,00762963
-468,44243392;-0,18311100;0,00762963
-468,11475392;-0,18311100;0,00762963
-467,78707393;-0,18311100;0,00762963
-467,45939393;-0,18311100;0,00762963
-467,13171393;-0,18311100;0,00762963
-466,80403393;4,39466500;0,00762963
-466,47635393;-0,18311100;0,00762963
-466,14867394;-0,18311100;0,00762963
-465,82099394;-0,18311100;0,00762963
-465,49331394;-0,18311100;0,00762963
-465,16563394;-0,18311100;0,00762963
-464,83795394;-0,18311100;0,00762963
-464,51027395;-0,18311100;0,00762963
-464,18259395;-0,18311100;0,00762963
-463,85491395;-0,18311100;0,00762963
-463,52723395;-0,18311100;0,00762963
-463,19955395;-0,18311100;0,00762963
-462,87187396;4,39466500;0,00762963
-462,54419396;-0,18311100;0,00762963
-462,21651396;-0,18311100;-0,03707999
-461,88883396;-0,18311100;0,00762963
-461,56115396;-0,18311100;0,00762963
-461,23347396;-0,18311100;0,00762963
-460,90579397;-0,18311100;-0,03707999
-460,57811397;-0,18311100;0,00762963
-460,25043397;-0,18311100;0,00762963
-459,92275397;-0,18311100;-0,03707999
-459,59507397;-0,18311100;0,00762963
-459,26739398;-0,18311100;0,00762963
-458,93971398;-0,18311100;0,00762963
-458,61203398;-0,18311100;0,00762963
-458,28435398;-0,18311100;0,00762963
-457,95667398;-0,18311100;0,00762963
-457,62899399;4,39466500;0,00762963
-457,30131399;-0,18311100;0,00762963
-456,97363399;-0,18311100;0,00762963
-456,64595399;-0,18311100;0,00762963
-456,31827399;4,39466500;0,00762963
-455,99059400;-0,18311100;0,00762963
-455,66291400;-0,18311100;0,00762963
-455,33523400;-0,18311100;0,00762963
-455,00755400;-0,18311100;0,00762963
-454,67987400;-0,18311100;0,00762963
-454,35219401;-0,18311100;-0,03707999
-454,02451401;4,39466500;0,00762963
-453,69683401;-0,18311100;0,00762963
-453,36915401;-0,18311100;0,00762963
-453,04147401;-0,18311100;0,00762963
-452,71379402;-0,18311100;0,00762963
-452,38611402;-0,18311100;0,00762963
-452,05843402;-0,18311100;0,00762963
-451,73075402;4,39466500;-0,03707999
-451,40307402;-0,18311100;0,00762963
-451,07539403;-0,18311100;0,00762963
-450,74771403;-0,18311100;0,00762963
-450,42003403;4,39466500;0,00762963
-450,09235403;-0,18311100;0,00762963
-449,76467403;-0,18311100;0,00762963
-449,43699404;-0,18311100;-0,03707999
-449,10931404;-0,18311100;0,00762963
-448,78163404;-0,18311100;-0,03707999
-448,45395404;-0,18311100;0,00762963
-448,12627404;-0,18311100;0,00762963
-447,79859405;-0,18311100;0,00762963
-447,47091405;-0,18311100;0,00762963
-447,14323405;4,39466500;0,00762963
-446,81555405;-0,18311100;0,00762963
-446,48787405;-0,18311100;0,00762963
-446,16019406;-0,18311100;0,00762963
-445,83251406;-0,18311100;0,00762963
-445,50483406;-0,18311100;-0,03707999
-445,17715406;-0,18311100;0,00762963
-444,84947406;-0,18311100;0,00762963
-444,52179407;-0,18311100;0,00762963
-444,19411407;-0,18311100;0,00762963
-443,86643407;-0,18311100;-0,03707999
-443,53875407;4,39466500;0,00762963
-443,21107407;-0,18311100;0,00762963
-442,88339408;-0,18311100;0,00762963
-442,55571408;-0,18311100;0,00762963
-442,22803408;4,39466500;0,00762963
-441,90035408;-0,18311100;-0,03707999
-441,57267408;-0,18311100;0,00762963
-441,24499409;-0,18311100;0,00762963
-440,91731409;-0,18311100;0,00762963
-440,58963409;-0,18311100;0,00762963
-440,26195409;-0,18311100;0,00762963
-439,93427409;4,39466500;-0,03707999
-439,60659410;-0,18311100;0,00762963
-439,27891410;-0,18311100;-0,03707999
-438,95123410;-0,18311100;0,00762963
-438,62355410;-0,18311100;0,00762963
-438,29587410;4,39466500;0,00762963
-437,96819411;-0,18311100;0,00762963
-437,64051411;-0,18311100;0,00762963
