Temps;Canal B
(ms);(V)

-488,85291815;2,38502100
-488,52523815;2,38502100
-488,19755815;2,38502100
-487,86987815;2,38502100
-487,54219816;2,38502100
-487,21451816;2,38502100
-486,88683816;2,38502100
-486,55915816;2,38502100
-486,23147816;2,38502100
-485,90379817;2,38502100
-485,57611817;2,38502100
-485,24843817;2,38502100
-484,92075817;2,38502100
-484,59307817;2,42988400
-484,26539818;2,38502100
-483,93771818;2,38502100
-483,61003818;2,42988400
-483,28235818;2,38502100
-482,95467818;2,38502100
-482,62699819;2,38502100
-482,29931819;2,38502100
-481,97163819;2,38502100
-481,64395819;2,38502100
-481,31627819;2,38502100
-480,98859820;2,38502100
-480,66091820;2,38502100
-480,33323820;2,38502100
-480,00555820;2,38502100
-479,67787820;2,38502100
-479,35019821;2,38502100
-479,02251821;2,38502100
-478,69483821;2,38502100
-478,36715821;2,38502100
-478,03947821;2,38502100
-477,71179822;2,38502100
-477,38411822;2,38502100
-477,05643822;2,38502100
-476,72875822;2,38502100
-476,40107822;2,38502100
-476,07339823;2,38502100
-475,74571823;2,42988400
-475,41803823;2,38502100
-475,09035823;2,38502100
-474,76267823;2,38502100
-474,43499824;2,38502100
-474,10731824;2,38502100
-473,77963824;2,38502100
-473,45195824;2,38502100
-473,12427824;2,42988400
-472,79659825;2,38502100
-472,46891825;2,38502100
-472,14123825;2,38502100
-471,81355825;2,38502100
-471,48587825;2,38502100
-471,15819826;2,38502100
-470,83051826;2,38502100
-470,50283826;2,38502100
-470,17515826;2,38502100
-469,84747826;2,38502100
-469,51979827;2,38502100
-469,19211827;2,38502100
-468,86443827;2,38502100
-468,53675827;2,38502100
-468,20907827;2,38502100
-467,88139828;2,38502100
-467,55371828;2,38502100
-467,22603828;2,38502100
-466,89835828;2,38502100
-466,57067828;2,38502100
-466,24299829;2,38502100
-465,91531829;2,38502100
-465,58763829;2,38502100
-465,25995829;2,42988400
-464,93227829;2,38502100
-464,60459830;2,38502100
-464,27691830;2,38502100
-463,94923830;2,38502100
-463,62155830;2,38502100
-463,29387830;2,38502100
-462,96619831;2,38502100
-462,63851831;2,38502100
-462,31083831;2,38502100
-461,98315831;2,38502100
-461,65547831;2,38502100
-461,32779832;2,38502100
-461,00011832;2,38502100
-460,67243832;2,42988400
-460,34475832;2,38502100
-460,01707832;2,38502100
-459,68939833;2,38502100
-459,36171833;2,38502100
-459,03403833;2,38502100
-458,70635833;2,38502100
-458,37867833;2,38502100
-458,05099834;2,38502100
-457,72331834;2,38502100
-457,39563834;2,38502100
-457,06795834;2,38502100
-456,74027834;2,38502100
-456,41259835;2,38502100
-456,08491835;2,38502100
-455,75723835;2,38502100
-455,42955835;2,38502100
-455,10187835;2,38502100
-454,77419836;2,38502100
-454,44651836;2,38502100
-454,11883836;2,38502100
-453,79115836;2,38502100
-453,46347836;2,38502100
-453,13579837;2,38502100
-452,80811837;2,42988400
-452,48043837;2,38502100
-452,15275837;2,42988400
-451,82507837;2,38502100
-451,49739838;2,38502100
-451,16971838;2,38502100
-450,84203838;2,38502100
-450,51435838;2,38502100
