Temps;Canal B
(ms);(V)

-488,80922794;4,94171000
-488,48154795;4,94171000
-488,15386795;4,94171000
-487,82618795;4,94171000
-487,49850795;4,94171000
-487,17082795;4,94171000
-486,84314796;4,94171000
-486,51546796;4,89684700
-486,18778796;4,94171000
-485,86010796;4,94171000
-485,53242796;4,94171000
-485,20474797;4,94171000
-484,87706797;4,94171000
-484,54938797;4,89684700
-484,22170797;4,94171000
-483,89402797;4,94171000
-483,56634798;4,94171000
-483,23866798;4,94171000
-482,91098798;4,89684700
-482,58330798;4,89684700
-482,25562798;4,94171000
-481,92794799;4,94171000
-481,60026799;4,94171000
-481,27258799;4,94171000
-480,94490799;4,94171000
-480,61722799;4,94171000
-480,28954800;4,94171000
-479,96186800;4,94171000
-479,63418800;4,94171000
-479,30650800;4,94171000
-478,97882800;4,94171000
-478,65114801;4,94171000
-478,32346801;4,94171000
-477,99578801;4,94171000
-477,66810801;4,94171000
-477,34042801;4,94171000
-477,01274802;4,94171000
-476,68506802;4,94171000
-476,35738802;4,94171000
-476,02970802;4,94171000
-475,70202802;4,94171000
-475,37434803;4,94171000
-475,04666803;4,94171000
-474,71898803;4,94171000
-474,39130803;4,94171000
-474,06362803;4,94171000
-473,73594804;4,94171000
-473,40826804;4,94171000
-473,08058804;4,94171000
-472,75290804;4,94171000
-472,42522804;4,94171000
-472,09754804;4,89684700
-471,76986805;4,89684700
-471,44218805;4,94171000
-471,11450805;4,89684700
-470,78682805;4,94171000
-470,45914805;4,94171000
-470,13146806;4,94171000
-469,80378806;4,94171000
-469,47610806;4,94171000
-469,14842806;4,89684700
-468,82074806;4,94171000
-468,49306807;4,94171000
-468,16538807;4,94171000
-467,83770807;4,94171000
-467,51002807;4,94171000
-467,18234807;4,94171000
-466,85466808;4,89684700
-466,52698808;4,94171000
-466,19930808;4,94171000
-465,87162808;4,94171000
-465,54394808;4,94171000
-465,21626809;4,94171000
-464,88858809;4,94171000
-464,56090809;4,94171000
-464,23322809;4,94171000
-463,90554809;4,94171000
-463,57786810;4,94171000
-463,25018810;4,94171000
-462,92250810;4,94171000
-462,59482810;4,94171000
-462,26714810;4,94171000
-461,93946811;4,94171000
-461,61178811;4,94171000
-461,28410811;4,94171000
-460,95642811;4,94171000
-460,62874811;4,94171000
-460,30106812;4,94171000
-459,97338812;4,94171000
-459,64570812;4,94171000
-459,31802812;4,94171000
-458,99034812;4,94171000
-458,66266813;4,94171000
-458,33498813;4,94171000
-458,00730813;4,94171000
-457,67962813;4,94171000
-457,35194813;4,94171000
-457,02426814;4,94171000
-456,69658814;4,94171000
-456,36890814;4,94171000
-456,04122814;4,94171000
-455,71354814;4,94171000
-455,38586815;4,94171000
-455,05818815;4,94171000
-454,73050815;4,94171000
-454,40282815;4,94171000
-454,07514815;4,94171000
-453,74746816;4,94171000
-453,41978816;4,94171000
-453,09210816;4,94171000
-452,76442816;4,94171000
-452,43674816;4,94171000
-452,10906817;4,94171000
-451,78138817;4,94171000
-451,45370817;4,94171000
-451,12602817;4,94171000
-450,79834817;4,94171000
-450,47066818;4,94171000
