Temps;Canal B
(ms);(V)

-488,89485002;4,76226100
-488,56717002;4,76226100
-488,23949002;4,76226100
-487,91181002;4,76226100
-487,58413002;4,76226100
-487,25645003;4,76226100
-486,92877003;4,76226100
-486,60109003;4,76226100
-486,27341003;4,76226100
-485,94573003;4,76226100
-485,61805004;4,76226100
-485,29037004;4,76226100
-484,96269004;4,76226100
-484,63501004;4,76226100
-484,30733004;4,76226100
-483,97965005;4,76226100
-483,65197005;4,76226100
-483,32429005;4,76226100
-482,99661005;4,76226100
-482,66893005;4,76226100
-482,34125006;4,76226100
-482,01357006;4,76226100
-481,68589006;4,76226100
-481,35821006;4,76226100
-481,03053006;4,76226100
-480,70285007;4,76226100
-480,37517007;4,76226100
-480,04749007;4,76226100
-479,71981007;4,76226100
-479,39213007;4,76226100
-479,06445008;4,76226100
-478,73677008;4,80712300
-478,40909008;4,76226100
-478,08141008;4,76226100
-477,75373008;4,76226100
-477,42605009;4,76226100
-477,09837009;4,76226100
-476,77069009;4,76226100
-476,44301009;4,76226100
-476,11533009;4,76226100
-475,78765010;4,76226100
-475,45997010;4,76226100
-475,13229010;4,76226100
-474,80461010;4,76226100
-474,47693010;4,76226100
-474,14925011;4,76226100
-473,82157011;4,76226100
-473,49389011;4,76226100
-473,16621011;4,76226100
-472,83853011;4,76226100
-472,51085012;4,76226100
-472,18317012;4,76226100
-471,85549012;4,76226100
-471,52781012;4,76226100
-471,20013012;4,76226100
-470,87245013;4,76226100
-470,54477013;4,76226100
-470,21709013;4,76226100
-469,88941013;4,76226100
-469,56173013;4,76226100
-469,23405014;4,76226100
-468,90637014;4,76226100
-468,57869014;4,76226100
-468,25101014;4,76226100
-467,92333014;4,76226100
-467,59565015;4,76226100
-467,26797015;4,76226100
-466,94029015;4,76226100
-466,61261015;4,76226100
-466,28493015;4,76226100
-465,95725016;4,76226100
-465,62957016;4,76226100
-465,30189016;4,76226100
-464,97421016;4,76226100
-464,64653016;4,76226100
-464,31885017;4,76226100
-463,99117017;4,76226100
-463,66349017;4,76226100
-463,33581017;4,76226100
-463,00813017;4,76226100
-462,68045017;4,76226100
-462,35277018;4,76226100
-462,02509018;4,76226100
-461,69741018;4,76226100
-461,36973018;4,76226100
-461,04205018;4,76226100
-460,71437019;4,76226100
-460,38669019;4,76226100
-460,05901019;4,76226100
-459,73133019;4,76226100
-459,40365019;4,76226100
-459,07597020;4,76226100
-458,74829020;4,76226100
-458,42061020;4,76226100
-458,09293020;4,76226100
-457,76525020;4,76226100
-457,43757021;4,76226100
-457,10989021;4,76226100
-456,78221021;4,76226100
-456,45453021;4,76226100
-456,12685021;4,76226100
-455,79917022;4,76226100
-455,47149022;4,76226100
-455,14381022;4,76226100
-454,81613022;4,76226100
-454,48845022;4,76226100
-454,16077023;4,76226100
-453,83309023;4,76226100
-453,50541023;4,76226100
-453,17773023;4,76226100
-452,85005023;4,76226100
-452,52237024;4,76226100
-452,19469024;4,76226100
-451,86701024;4,76226100
-451,53933024;4,76226100
-451,21165024;4,76226100
-450,88397025;4,76226100
-450,55629025;4,76226100
