Temps;Canal A;Canal B
(ms);(V);(V)

-100,12853146;0,00000000;0,00762963
-100,04661146;0,00000000;0,00762963
-99,96469146;0,04577776;0,00762963
-99,88277146;0,04577776;0,00762963
-99,80085146;0,00000000;0,00762963
-99,71893146;0,00000000;0,00762963
-99,63701146;0,00000000;0,00762963
-99,55509146;0,04577776;0,00762963
-99,47317146;0,04577776;0,00762963
-99,39125146;0,00000000;0,00762963
-99,30933146;0,00000000;0,00762963
-99,22741146;0,00000000;0,00762963
-99,14549146;0,00000000;0,00762963
-99,06357146;0,00000000;0,00762963
-98,98165146;0,00000000;0,00762963
-98,89973146;0,04577776;0,00762963
-98,81781146;0,00000000;0,00762963
-98,73589146;0,00000000;0,00762963
-98,65397146;0,04577776;0,00762963
-98,57205147;0,00000000;0,00762963
-98,49013147;0,04577776;0,00762963
-98,40821147;0,00000000;0,00762963
-98,32629147;0,00000000;-0,03707999
-98,24437147;0,00000000;0,00762963
-98,16245147;0,00000000;-0,03707999
-98,08053147;0,00000000;0,00762963
-97,99861147;0,00000000;0,00762963
-97,91669147;0,00000000;0,00762963
-97,83477147;0,04577776;0,00762963
-97,75285147;0,04577776;0,00762963
-97,67093147;0,04577776;0,00762963
-97,58901147;0,00000000;0,00762963
-97,50709147;0,04577776;0,00762963
-97,42517147;0,00000000;0,00762963
-97,34325147;0,04577776;-0,03707999
-97,26133147;0,00000000;0,00762963
-97,17941147;0,00000000;-0,03707999
-97,09749147;0,00000000;0,00762963
-97,01557147;0,00000000;0,00762963
-96,93365148;0,00000000;0,00762963
-96,85173148;0,00000000;0,00762963
-96,76981148;0,00000000;0,00762963
-96,68789148;0,00000000;0,00762963
-96,60597148;0,00000000;0,00762963
-96,52405148;0,00000000;0,00762963
-96,44213148;0,00000000;0,00762963
-96,36021148;0,04577776;0,00762963
-96,27829148;0,00000000;-0,03707999
-96,19637148;0,00000000;0,00762963
-96,11445148;0,00000000;0,00762963
-96,03253148;0,00000000;0,00762963
-95,95061148;0,00000000;0,00762963
-95,86869148;0,00000000;0,00762963
-95,78677148;0,00000000;0,00762963
-95,70485148;0,00000000;0,00762963
-95,62293148;0,04577776;0,00762963
-95,54101148;0,04577776;0,00762963
-95,45909148;0,00000000;-0,03707999
-95,37717148;0,00000000;0,00762963
-95,29525149;0,00000000;0,00762963
-95,21333149;0,04577776;0,00762963
-95,13141149;0,04577776;0,00762963
-95,04949149;0,04577776;-0,03707999
-94,96757149;0,00000000;0,00762963
-94,88565149;0,00000000;0,00762963
-94,80373149;0,00000000;0,00762963
-94,72181149;0,00000000;0,00762963
-94,63989149;0,00000000;0,00762963
-94,55797149;0,04577776;0,00762963
-94,47605149;0,04577776;0,00762963
-94,39413149;0,00000000;0,00762963
-94,31221149;0,00000000;0,00762963
-94,23029149;0,00000000;-0,03707999
-94,14837149;0,00000000;0,00762963
-94,06645149;0,00000000;0,00762963
-93,98453149;0,00000000;0,00762963
-93,90261149;0,00000000;-0,03707999
-93,82069149;0,04577776;0,00762963
-93,73877149;0,00000000;0,00762963
-93,65685150;0,00000000;0,00762963
-93,57493150;0,04577776;0,00762963
-93,49301150;0,00000000;0,00762963
-93,41109150;0,00000000;0,00762963
-93,32917150;0,04577776;0,00762963
-93,24725150;0,00000000;0,00762963
-93,16533150;0,00000000;0,00762963
-93,08341150;0,00000000;0,00762963
-93,00149150;0,00000000;-0,03707999
-92,91957150;0,00000000;0,00762963
-92,83765150;0,00000000;0,00762963
-92,75573150;0,00000000;-0,03707999
-92,67381150;0,04577776;0,00762963
-92,59189150;0,00000000;0,00762963
-92,50997150;0,04577776;0,00762963
-92,42805150;0,00000000;0,00762963
-92,34613150;0,00000000;0,00762963
-92,26421150;0,04577776;0,00762963
-92,18229150;0,00000000;0,00762963
-92,10037150;0,00000000;0,00762963
-92,01845151;0,00000000;-0,03707999
-91,93653151;0,00000000;0,00762963
-91,85461151;0,04577776;0,00762963
-91,77269151;0,00000000;0,00762963
-91,69077151;0,00000000;0,00762963
-91,60885151;0,00000000;0,00762963
-91,52693151;0,04577776;-0,03707999
-91,44501151;0,00000000;0,00762963
-91,36309151;0,00000000;0,00762963
-91,28117151;0,00000000;-0,03707999
-91,19925151;0,04577776;0,00762963
-91,11733151;0,00000000;0,00762963
-91,03541151;0,00000000;0,00762963
-90,95349151;0,00000000;0,00762963
-90,87157151;0,00000000;0,00762963
-90,78965151;0,00000000;0,00762963
-90,70773151;0,00000000;0,00762963
-90,62581151;0,00000000;0,00762963
-90,54389151;0,04577776;0,00762963
-90,46197151;0,00000000;0,00762963
