Temps;Canal A;Canal B
(ms);(V);(V)

-250,33447146;0,04577776;∞
-250,17063147;0,00000000;∞
-250,00679147;0,00000000;∞
-249,84295147;0,00000000;∞
-249,67911147;0,00000000;∞
-249,51527147;0,00000000;∞
-249,35143147;0,00000000;∞
-249,18759147;0,00000000;∞
-249,02375147;0,00000000;∞
-248,85991147;0,04577776;∞
-248,69607147;0,00000000;∞
-248,53223148;0,00000000;∞
-248,36839148;0,04577776;∞
-248,20455148;0,04577776;∞
-248,04071148;0,00000000;∞
-247,87687148;0,04577776;∞
-247,71303148;0,04577776;∞
-247,54919148;0,00000000;∞
-247,38535148;0,00000000;∞
-247,22151148;0,04577776;∞
-247,05767148;0,00000000;∞
-246,89383149;0,00000000;∞
-246,72999149;0,04577776;∞
-246,56615149;0,00000000;∞
-246,40231149;0,04577776;∞
-246,23847149;0,00000000;∞
-246,07463149;0,00000000;∞
-245,91079149;0,00000000;∞
-245,74695149;0,00000000;∞
-245,58311149;0,00000000;∞
-245,41927149;0,04577776;∞
-245,25543150;0,00000000;∞
-245,09159150;0,00000000;∞
-244,92775150;0,04577776;∞
-244,76391150;0,04577776;∞
-244,60007150;0,00000000;∞
-244,43623150;0,04577776;∞
-244,27239150;0,00000000;∞
-244,10855150;0,04577776;∞
-243,94471150;0,00000000;∞
-243,78087150;0,00000000;∞
-243,61703150;0,00000000;∞
-243,45319151;0,00000000;∞
-243,28935151;0,00000000;∞
-243,12551151;0,00000000;∞
-242,96167151;0,00000000;∞
-242,79783151;0,04577776;∞
-242,63399151;0,00000000;∞
-242,47015151;0,00000000;∞
-242,30631151;0,00000000;∞
-242,14247151;0,00000000;∞
-241,97863151;0,04577776;∞
-241,81479152;0,00000000;∞
-241,65095152;0,00000000;∞
-241,48711152;0,00000000;∞
-241,32327152;0,04577776;∞
-241,15943152;0,00000000;∞
-240,99559152;0,00000000;∞
-240,83175152;0,00000000;∞
-240,66791152;0,00000000;∞
-240,50407152;0,00000000;∞
-240,34023152;0,04577776;∞
-240,17639153;0,00000000;∞
-240,01255153;0,00000000;∞
-239,84871153;0,00000000;∞
-239,68487153;0,00000000;∞
-239,52103153;0,00000000;∞
-239,35719153;0,00000000;∞
-239,19335153;0,00000000;∞
-239,02951153;0,00000000;∞
-238,86567153;0,00000000;∞
-238,70183153;0,00000000;∞
-238,53799154;0,00000000;∞
-238,37415154;0,00000000;∞
-238,21031154;0,00000000;∞
-238,04647154;0,00000000;∞
-237,88263154;0,00000000;∞
-237,71879154;0,00000000;∞
-237,55495154;0,00000000;∞
-237,39111154;0,04577776;∞
-237,22727154;0,00000000;∞
-237,06343154;0,00000000;∞
-236,89959155;0,00000000;∞
-236,73575155;0,00000000;∞
-236,57191155;0,00000000;∞
-236,40807155;0,00000000;∞
-236,24423155;0,00000000;∞
-236,08039155;0,00000000;∞
-235,91655155;0,00000000;∞
-235,75271155;0,00000000;∞
-235,58887155;0,00000000;∞
-235,42503155;0,00000000;∞
-235,26119156;0,00000000;∞
-235,09735156;0,00000000;∞
-234,93351156;0,00000000;∞
-234,76967156;0,00000000;∞
-234,60583156;0,00000000;∞
-234,44199156;0,00000000;∞
-234,27815156;0,00000000;∞
-234,11431156;0,00000000;∞
-233,95047156;0,00000000;∞
-233,78663156;0,00000000;∞
-233,62279157;0,00000000;∞
-233,45895157;0,00000000;∞
-233,29511157;0,00000000;∞
-233,13127157;0,00000000;∞
-232,96743157;0,04577776;∞
-232,80359157;0,04577776;∞
-232,63975157;0,00000000;∞
-232,47591157;0,00000000;∞
-232,31207157;0,00000000;∞
-232,14823157;0,00000000;∞
-231,98439158;0,00000000;∞
-231,82055158;0,00000000;∞
-231,65671158;0,00000000;∞
-231,49287158;0,00000000;∞
-231,32903158;0,00000000;∞
-231,16519158;0,00000000;∞
-231,00135158;0,00000000;∞
-230,83751158;0,00000000;∞
-230,67367158;0,00000000;∞
-230,50983158;0,00000000;∞
-230,34599159;0,00000000;∞
-230,18215159;0,00000000;∞
-230,01831159;0,00000000;∞
-229,85447159;0,00000000;∞
-229,69063159;0,00000000;∞
-229,52679159;0,00000000;∞
-229,36295159;0,00000000;∞
-229,19911159;0,00000000;∞
-229,03527159;0,00000000;∞
-228,87143159;0,00000000;∞
-228,70759160;0,00000000;∞
-228,54375160;0,00000000;∞
-228,37991160;0,00000000;∞
-228,21607160;0,00000000;∞
-228,05223160;0,04577776;∞
-227,88839160;0,04577776;∞
-227,72455160;0,00000000;∞
-227,56071160;0,00000000;∞
-227,39687160;0,00000000;∞
-227,23303160;0,00000000;∞
