Temps;Canal A;Canal B
(ms);(V);(V)

-251,64064765;4,98352000;-0,00015259
-251,47680765;4,98352000;-0,00015259
-251,31296765;4,98352000;-0,00015259
-251,14912765;4,93774200;-0,00015259
-250,98528765;4,98352000;-0,00015259
-250,82144765;4,98352000;-0,00015259
-250,65760766;4,93774200;-0,00015259
-250,49376766;4,93774200;-0,00015259
-250,32992766;4,98352000;-0,00015259
-250,16608766;4,98352000;-0,00015259
-250,00224766;4,93774200;-0,00015259
-249,83840766;4,98352000;-0,00015259
-249,67456766;4,93774200;-0,00015259
-249,51072766;4,93774200;-0,00015259
-249,34688766;4,98352000;-0,00015259
-249,18304766;4,98352000;-0,00015259
-249,01920767;4,98352000;-0,00015259
-248,85536767;4,93774200;-0,00015259
-248,69152767;4,93774200;-0,00015259
-248,52768767;4,98352000;-0,00015259
-248,36384767;4,93774200;-0,00015259
-248,20000767;4,93774200;-0,00015259
-248,03616767;4,93774200;-0,00015259
-247,87232767;4,93774200;-0,00015259
-247,70848767;4,93774200;-0,00015259
-247,54464767;4,93774200;-0,00015259
-247,38080768;4,98352000;-0,00015259
-247,21696768;4,98352000;-0,00015259
-247,05312768;4,98352000;-0,00015259
-246,88928768;4,98352000;-0,00015259
-246,72544768;4,93774200;-0,00015259
-246,56160768;4,98352000;-0,00015259
-246,39776768;4,93774200;-0,00015259
-246,23392768;4,93774200;-0,00015259
-246,07008768;4,93774200;-0,00015259
-245,90624768;4,93774200;-0,00015259
-245,74240769;4,98352000;-0,00015259
-245,57856769;4,98352000;-0,00015259
-245,41472769;4,98352000;-0,00015259
-245,25088769;4,98352000;-0,00015259
-245,08704769;4,98352000;-0,00015259
-244,92320769;4,98352000;-0,00015259
-244,75936769;4,93774200;-0,00015259
-244,59552769;4,93774200;-0,00015259
-244,43168769;4,98352000;-0,00015259
-244,26784769;4,93774200;-0,00015259
-244,10400770;4,98352000;-0,00015259
-243,94016770;4,93774200;-0,00015259
-243,77632770;4,93774200;-0,00015259
-243,61248770;4,98352000;-0,00015259
-243,44864770;4,93774200;-0,00015259
-243,28480770;4,93774200;-0,00015259
-243,12096770;4,98352000;-0,00015259
-242,95712770;4,93774200;-0,00015259
-242,79328770;4,98352000;-0,00015259
-242,62944770;4,93774200;-0,00015259
-242,46560771;4,93774200;-0,00015259
-242,30176771;4,93774200;-0,00015259
-242,13792771;4,93774200;-0,00015259
-241,97408771;4,98352000;-0,00015259
-241,81024771;4,98352000;-0,00015259
-241,64640771;4,98352000;-0,00015259
-241,48256771;4,93774200;-0,00015259
-241,31872771;4,98352000;-0,00015259
-241,15488771;4,98352000;-0,00015259
-240,99104771;4,93774200;-0,00015259
-240,82720772;4,93774200;-0,00015259
-240,66336772;4,93774200;-0,00015259
-240,49952772;4,93774200;-0,00015259
-240,33568772;4,93774200;-0,00015259
-240,17184772;4,98352000;0,00885037
-240,00800772;4,98352000;-0,00015259
-239,84416772;4,98352000;-0,00015259
-239,68032772;4,98352000;-0,00015259
-239,51648772;4,93774200;-0,00015259
-239,35264772;4,98352000;-0,00015259
-239,18880773;4,98352000;-0,00015259
-239,02496773;4,98352000;-0,00015259
-238,86112773;4,98352000;-0,00015259
-238,69728773;4,98352000;-0,00015259
-238,53344773;4,98352000;-0,00015259
-238,36960773;4,93774200;-0,00015259
-238,20576773;4,98352000;-0,00015259
-238,04192773;4,98352000;-0,00015259
-237,87808773;4,98352000;-0,00015259
-237,71424773;4,93774200;-0,00015259
-237,55040774;4,93774200;-0,00015259
-237,38656774;4,98352000;-0,00015259
-237,22272774;4,93774200;-0,00015259
-237,05888774;4,98352000;-0,00015259
-236,89504774;4,93774200;-0,00015259
-236,73120774;4,93774200;-0,00015259
-236,56736774;4,98352000;-0,00015259
-236,40352774;4,93774200;-0,00015259
-236,23968774;4,98352000;-0,00015259
-236,07584774;4,98352000;-0,00015259
-235,91200775;4,98352000;-0,00015259
-235,74816775;4,98352000;-0,00015259
-235,58432775;4,98352000;-0,00015259
-235,42048775;4,98352000;-0,00015259
-235,25664775;4,93774200;-0,00015259
-235,09280775;4,98352000;-0,00015259
-234,92896775;4,98352000;-0,00015259
-234,76512775;4,98352000;-0,00015259
-234,60128775;4,98352000;-0,00015259
-234,43744775;4,93774200;-0,00015259
-234,27360776;4,98352000;-0,00015259
-234,10976776;4,93774200;-0,00015259
-233,94592776;4,98352000;-0,00015259
-233,78208776;4,98352000;-0,00015259
-233,61824776;4,93774200;-0,00015259
-233,45440776;4,98352000;-0,00015259
-233,29056776;4,98352000;-0,00015259
-233,12672776;4,93774200;-0,00015259
