Temps;Canal A;Canal B
(ms);(V);(V)

-50,05397648;1,00705000;0,68752100
-50,01301648;0,98867760;0,68752100
-49,97205648;0,98867760;0,66945400
-49,93109648;0,97030550;0,65144810
-49,89013648;0,97030550;0,65144810
-49,84917648;0,93356120;0,63338110
-49,80821648;0,93356120;0,63338110
-49,76725648;0,91518910;0,61531420
-49,72629648;0,91518910;0,59724720
-49,68533648;0,89681690;0,59724720
-49,64437648;0,89681690;0,57918030
-49,60341648;0,89681690;0,56111330
-49,56245648;0,86007260;0,56111330
-49,52149648;0,86007260;0,54304640
-49,48053648;0,84170050;0,52497940
-49,43957648;0,84170050;0,52497940
-49,39861648;0,82332840;0,50691250
-49,35765648;0,82332840;0,50691250
-49,31669648;0,80495620;0,48890650
-49,27573648;0,78658410;0,48890650
-49,23477648;0,76821190;0,47083960
-49,19381648;0,76821190;0,47083960
-49,15285648;0,74983980;0,47083960
-49,11189648;0,74983980;0,43470560
-49,07093648;0,74983980;0,43470560
-49,02997648;0,73146760;0,43470560
-48,98901648;0,71309550;0,41663870
-48,94805648;0,69472340;0,41663870
-48,90709648;0,69472340;0,39857170
-48,86613648;0,69472340;0,39857170
-48,82517648;0,67635120;0,38050480
-48,78421648;0,67635120;0,38050480
-48,74325648;0,65797910;0,36243780
-48,70229648;0,63960690;0,34437090
-48,66133648;0,63960690;0,34437090
-48,62037648;0,62123480;0,34437090
-48,57941649;0,60286270;0,32636490
-48,53845649;0,60286270;0,32636490
-48,49749649;0,60286270;0,30829800
-48,45653649;0,58449050;0,30829800
-48,41557649;0,58449050;0,30829800
-48,37461649;0,56611840;0,29023100
-48,33365649;0,56611840;0,27216410
-48,29269649;0,54774620;0,27216410
-48,25173649;0,52937410;0,25409710
-48,21077649;0,52937410;0,27216410
-48,16981649;0,52937410;0,27216410
-48,12885649;0,51100190;0,25409710
-48,08789649;0,49262980;0,23603010
-48,04693649;0,49262980;0,23603010
-48,00597649;0,47425760;0,23603010
-47,96501649;0,47425760;0,21796320
-47,92405649;0,47425760;0,19989620
-47,88309649;0,45588550;0,19989620
-47,84213649;0,45588550;0,18182930
-47,80117649;0,45588550;0,19989620
-47,76021649;0,43751340;0,18182930
-47,71925649;0,41914120;0,18182930
-47,67829649;0,41914120;0,18182930
-47,63733649;0,40076910;0,16382340
-47,59637649;0,40076910;0,16382340
-47,55541649;0,38239690;0,14575640
-47,51445649;0,38239690;0,14575640
-47,47349649;0,38239690;0,14575640
-47,43253649;0,38239690;0,14575640
-47,39157649;0,36402480;0,12768950
-47,35061649;0,34565260;0,12768950
-47,30965649;0,32728050;0,12768950
-47,26869649;0,32728050;0,10962250
-47,22773649;0,32728050;0,12768950
-47,18677649;0,32728050;0,12768950
-47,14581649;0,32728050;0,10962250
-47,10485649;0,30890830;0,10962250
-47,06389649;0,29053620;0,10962250
-47,02293649;0,29053620;0,10962250
-46,98197649;0,29053620;0,09155553
-46,94101650;0,27216410;0,09155553
-46,90005650;0,27216410;0,09155553
-46,85909650;0,27216410;0,09155553
-46,81813650;0,25379190;0,09155553
-46,77717650;0,27216410;0,07348857
-46,73621650;0,23541980;0,07348857
-46,69525650;0,23541980;0,07348857
-46,65429650;0,23541980;0,07348857
-46,61333650;0,23541980;0,07348857
-46,57237650;0,23541980;0,07348857
-46,53141650;0,23541980;0,07348857
-46,49045650;0,21704760;0,07348857
-46,44949650;0,21704760;0,07348857
-46,40853650;0,19867550;0,07348857
-46,36757650;0,19867550;0,05542161
-46,32661650;0,19867550;0,05542161
-46,28565650;0,19867550;0,07348857
-46,24469650;0,18030340;0,05542161
-46,20373650;0,18030340;0,05542161
-46,16277650;0,18030340;0,05542161
-46,12181650;0,18030340;0,07348857
-46,08085650;0,16193120;0,05542161
-46,03989650;0,18030340;0,05542161
-45,99893650;0,16193120;0,07348857
-45,95797650;0,16193120;0,05542161
-45,91701650;0,16193120;0,05542161
-45,87605650;0,16193120;0,07348857
-45,83509650;0,14355910;0,05542161
-45,79413650;0,16193120;0,05542161
-45,75317650;0,16193120;0,07348857
-45,71221650;0,14355910;0,07348857
-45,67125650;0,14355910;0,07348857
-45,63029650;0,14355910;0,07348857
-45,58933650;0,14355910;0,07348857
-45,54837650;0,14355910;0,07348857
-45,50741650;0,14355910;0,07348857
-45,46645650;0,14355910;0,07348857
-45,42549650;0,14355910;0,07348857
-45,38453650;0,12518690;0,09155553
-45,34357650;0,14355910;0,09155553
-45,30261651;0,12518690;0,09155553
-45,26165651;0,12518690;0,09155553
-45,22069651;0,12518690;0,09155553
-45,17973651;0,12518690;0,10962250
