Temps;Canal A;Canal B
(ms);(V);(V)

-50,08771271;0,95193330;1,42802200
-50,04675271;0,97030550;1,46415600
-50,00579271;0,98867760;1,48222300
-49,96483271;1,00705000;1,50022900
-49,92387271;1,02542200;1,50022900
-49,88291271;1,04379400;1,51829600
-49,84195271;1,06216600;1,53636300
-49,80099271;1,06216600;1,55443000
-49,76003271;1,08053800;1,57249700
-49,71907271;1,11728300;1,57249700
-49,67811271;1,11728300;1,59056400
-49,63715271;1,13565500;1,60863100
-49,59619271;1,15402700;1,62669800
-49,55523271;1,17239900;1,64476500
-49,51427271;1,19077100;1,64476500
-49,47331271;1,20914300;1,66277100
-49,43235271;1,20914300;1,68083700
-49,39139271;1,22751500;1,69890400
-49,35043271;1,24588800;1,69890400
-49,30947271;1,26432100;1,69890400
-49,26851271;1,28269300;1,71697100
-49,22755271;1,28269300;1,73503800
-49,18659271;1,30106500;1,73503800
-49,14563271;1,31943700;1,75310500
-49,10467271;1,33780900;1,77117200
-49,06371271;1,35618200;1,75310500
-49,02275271;1,35618200;1,77117200
-48,98179271;1,37455400;1,77117200
-48,94083271;1,39292600;1,77117200
-48,89987271;1,41129800;1,78923900
-48,85891271;1,42967000;1,78923900
-48,81795271;1,42967000;1,78923900
-48,77699271;1,44804200;1,78923900
-48,73603271;1,44804200;1,78923900
-48,69507271;1,46641400;1,80730600
-48,65411271;1,48478700;1,80730600
-48,61315271;1,48478700;1,80730600
-48,57219271;1,50315900;1,80730600
-48,53123271;1,50315900;1,80730600
-48,49027271;1,52153100;1,80730600
-48,44931272;1,52153100;1,82531200
-48,40835272;1,55827500;1,80730600
-48,36739272;1,55827500;1,80730600
-48,32643272;1,55827500;1,80730600
-48,28547272;1,55827500;1,80730600
-48,24451272;1,57664700;1,80730600
-48,20355272;1,57664700;1,78923900
-48,16259272;1,59501900;1,78923900
-48,12163272;1,59501900;1,78923900
-48,08067272;1,59501900;1,78923900
-48,03971272;1,59501900;1,77117200
-47,99875272;1,61339200;1,77117200
-47,95779272;1,61339200;1,77117200
-47,91683272;1,63176400;1,75310500
-47,87587272;1,63176400;1,75310500
-47,83491272;1,63176400;1,73503800
-47,79395272;1,63176400;1,73503800
-47,75299272;1,63176400;1,71697100
-47,71203272;1,63176400;1,71697100
-47,67107272;1,63176400;1,71697100
-47,63011272;1,63176400;1,68083700
-47,58915272;1,63176400;1,68083700
-47,54819272;1,65013600;1,66277100
-47,50723272;1,63176400;1,64476500
-47,46627272;1,63176400;1,64476500
-47,42531272;1,65013600;1,62669800
-47,38435272;1,63176400;1,62669800
-47,34339272;1,63176400;1,59056400
-47,30243272;1,63176400;1,57249700
-47,26147272;1,63176400;1,57249700
-47,22051272;1,63176400;1,55443000
-47,17955272;1,63176400;1,53636300
-47,13859272;1,63176400;1,51829600
-47,09763272;1,63176400;1,50022900
-47,05667272;1,61339200;1,50022900
-47,01571272;1,61339200;1,48222300
-46,97475272;1,61339200;1,46415600
-46,93379272;1,59501900;1,44608900
-46,89283272;1,59501900;1,42802200
-46,85187272;1,57664700;1,40995500
-46,81091273;1,57664700;1,39188800
-46,76995273;1,57664700;1,37382100
-46,72899273;1,55827500;1,33768700
-46,68803273;1,55827500;1,33768700
-46,64707273;1,55827500;1,30161400
-46,60611273;1,53990300;1,28354800
-46,56515273;1,52153100;1,26548100
-46,52419273;1,52153100;1,22934700
-46,48323273;1,50315900;1,22934700
-46,44227273;1,50315900;1,21128000
-46,40131273;1,48478700;1,19321300
-46,36035273;1,48478700;1,17514600
-46,31939273;1,46641400;1,13907300
-46,27843273;1,44804200;1,13907300
-46,23747273;1,44804200;1,10293900
-46,19651273;1,42967000;1,08487200
-46,15555273;1,41129800;1,06680500
-46,11459273;1,41129800;1,04873800
-46,07363273;1,39292600;1,01260400
-46,03267273;1,37455400;0,99453720
-45,99171273;1,35618200;0,97653130
-45,95075273;1,33780900;0,95846430
-45,90979273;1,33780900;0,94039730
-45,86883273;1,31943700;0,90426340
-45,82787273;1,30106500;0,88619650
-45,78691273;1,28269300;0,88619650
-45,74595273;1,28269300;0,85006250
-45,70499273;1,26432100;0,83199560
-45,66403273;1,24588800;0,81398970
-45,62307273;1,22751500;0,77785580
-45,58211273;1,20914300;0,75978880
-45,54115273;1,19077100;0,74172190
-45,50019273;1,19077100;0,72365490
-45,45923273;1,17239900;0,70558790
-45,41827273;1,15402700;0,68752100
-45,37731273;1,11728300;0,66945400
-45,33635273;1,11728300;0,65144810
-45,29539273;1,09891000;0,63338110
-45,25443273;1,08053800;0,61531420
-45,21347273;1,06216600;0,59724720
