Temps;Canal A;Canal B
(ms);(V);(V)

-250,19550323;4,98352000;0,00946074
-250,03166324;4,98352000;0,00946074
-249,86782324;4,93774200;0,00946074
-249,70398324;4,98352000;0,00946074
-249,54014324;4,98352000;0,00946074
-249,37630324;4,98352000;0,00946074
-249,21246324;4,93774200;0,00946074
-249,04862324;4,93774200;0,00946074
-248,88478324;4,93774200;0,00946074
-248,72094324;4,93774200;0,00946074
-248,55710324;4,98352000;0,00946074
-248,39326325;4,93774200;0,00946074
-248,22942325;4,98352000;0,00946074
-248,06558325;4,93774200;0,00946074
-247,90174325;4,98352000;0,00946074
-247,73790325;4,93774200;0,00946074
-247,57406325;4,98352000;0,00946074
-247,41022325;4,98352000;0,00946074
-247,24638325;4,93774200;0,00946074
-247,08254325;4,98352000;0,00946074
-246,91870325;4,98352000;0,00946074
-246,75486326;4,93774200;0,00946074
-246,59102326;4,93774200;0,00946074
-246,42718326;4,93774200;0,00946074
-246,26334326;4,93774200;-0,07995850
-246,09950326;4,93774200;0,00946074
-245,93566326;4,98352000;0,00946074
-245,77182326;4,98352000;0,00946074
-245,60798326;4,98352000;0,00946074
-245,44414326;4,93774200;0,00946074
-245,28030326;4,98352000;0,00946074
-245,11646327;4,93774200;0,00946074
-244,95262327;4,98352000;0,00946074
-244,78878327;4,98352000;0,00946074
-244,62494327;4,98352000;0,00946074
-244,46110327;4,98352000;0,00946074
-244,29726327;4,98352000;0,00946074
-244,13342327;4,98352000;0,00946074
-243,96958327;4,98352000;0,00946074
-243,80574327;4,98352000;0,00946074
-243,64190327;4,98352000;0,00946074
-243,47806328;4,98352000;0,00946074
-243,31422328;4,98352000;0,00946074
-243,15038328;4,98352000;0,00946074
-242,98654328;4,93774200;0,00946074
-242,82270328;4,93774200;0,00946074
-242,65886328;4,98352000;0,00946074
-242,49502328;4,98352000;0,00946074
-242,33118328;4,98352000;0,00946074
-242,16734328;4,98352000;-0,07995850
-242,00350328;4,98352000;0,00946074
-241,83966329;4,93774200;0,00946074
-241,67582329;4,98352000;0,00946074
-241,51198329;4,93774200;0,00946074
-241,34814329;4,98352000;0,00946074
-241,18430329;4,93774200;0,00946074
-241,02046329;4,98352000;0,00946074
-240,85662329;4,93774200;0,00946074
-240,69278329;4,98352000;0,00946074
-240,52894329;4,93774200;0,00946074
-240,36510329;4,98352000;0,00946074
-240,20126330;4,98352000;0,00946074
-240,03742330;4,93774200;0,00946074
-239,87358330;4,93774200;0,00946074
-239,70974330;4,93774200;0,00946074
-239,54590330;4,93774200;0,00946074
-239,38206330;4,98352000;0,00946074
-239,21822330;4,98352000;0,00946074
-239,05438330;4,98352000;0,00946074
-238,89054330;4,98352000;0,00946074
-238,72670330;4,98352000;0,00946074
-238,56286331;4,93774200;0,00946074
-238,39902331;4,98352000;0,00946074
-238,23518331;4,93774200;0,00946074
-238,07134331;4,93774200;0,00946074
-237,90750331;4,98352000;0,00946074
-237,74366331;4,98352000;0,00946074
-237,57982331;4,98352000;0,00946074
-237,41598331;4,98352000;0,00946074
-237,25214331;4,98352000;0,00946074
-237,08830331;4,98352000;0,00946074
-236,92446332;4,98352000;0,00946074
-236,76062332;4,93774200;0,00946074
-236,59678332;4,98352000;0,00946074
-236,43294332;4,98352000;0,00946074
-236,26910332;4,98352000;0,00946074
-236,10526332;4,93774200;0,00946074
-235,94142332;4,98352000;0,00946074
-235,77758332;4,93774200;0,00946074
-235,61374332;4,98352000;0,00946074
-235,44990332;4,98352000;0,00946074
-235,28606333;4,98352000;0,00946074
-235,12222333;4,98352000;0,00946074
-234,95838333;4,98352000;0,00946074
-234,79454333;4,98352000;0,00946074
-234,63070333;4,98352000;0,00946074
-234,46686333;4,98352000;0,00946074
-234,30302333;4,98352000;0,00946074
-234,13918333;4,98352000;0,00946074
-233,97534333;4,98352000;0,00946074
-233,81150333;4,93774200;0,00946074
-233,64766334;4,98352000;0,00946074
-233,48382334;4,98352000;0,00946074
-233,31998334;4,98352000;0,00946074
-233,15614334;4,98352000;0,00946074
-232,99230334;4,93774200;0,00946074
-232,82846334;4,93774200;0,00946074
-232,66462334;4,98352000;0,00946074
-232,50078334;4,93774200;0,00946074
-232,33694334;4,93774200;0,00946074
-232,17310334;4,98352000;0,00946074
-232,00926335;4,93774200;0,00946074
-231,84542335;4,93774200;0,00946074
-231,68158335;4,98352000;0,00946074
-231,51774335;4,98352000;0,00946074
-231,35390335;4,93774200;0,00946074
-231,19006335;4,98352000;0,00946074
-231,02622335;4,98352000;0,00946074
-230,86238335;4,98352000;0,00946074
-230,69854335;4,98352000;0,00946074
