Temps;Canal A;Canal B
(ms);(V);(V)

-99,80135411;4,98352000;0,27680290
-99,71943411;4,98352000;0,27680290
-99,63751411;4,93774200;0,27680290
-99,55559411;4,98352000;0,27680290
-99,47367411;4,98352000;0,32166510
-99,39175411;4,93774200;0,32166510
-99,30983411;4,93774200;0,32166510
-99,22791411;4,93774200;0,27680290
-99,14599411;4,93774200;0,32166510
-99,06407411;4,93774200;0,27680290
-98,98215412;4,93774200;0,27680290
-98,90023412;4,93774200;0,27680290
-98,81831412;4,93774200;0,27680290
-98,73639412;4,93774200;0,27680290
-98,65447412;4,93774200;0,27680290
-98,57255412;4,93774200;0,32166510
-98,49063412;4,93774200;0,27680290
-98,40871412;4,93774200;0,32166510
-98,32679412;4,89196400;0,27680290
-98,24487412;4,93774200;0,32166510
-98,16295412;4,89196400;0,32166510
-98,08103412;4,93774200;0,27680290
-97,99911412;4,89196400;0,32166510
-97,91719412;4,93774200;0,27680290
-97,83527412;4,93774200;0,32166510
-97,75335412;4,93774200;0,32166510
-97,67143412;4,89196400;0,32166510
-97,58951412;4,93774200;0,27680290
-97,50759412;4,93774200;0,27680290
-97,42567412;4,93774200;0,27680290
-97,34375413;4,93774200;0,27680290
-97,26183413;4,93774200;0,32166510
-97,17991413;4,93774200;0,27680290
-97,09799413;4,93774200;0,27680290
-97,01607413;4,93774200;0,27680290
-96,93415413;4,93774200;0,27680290
-96,85223413;4,93774200;0,32166510
-96,77031413;4,93774200;0,32166510
-96,68839413;4,93774200;0,27680290
-96,60647413;4,93774200;0,32166510
-96,52455413;4,93774200;0,27680290
-96,44263413;4,93774200;0,32166510
-96,36071413;4,93774200;0,32166510
-96,27879413;4,93774200;0,27680290
-96,19687413;4,93774200;0,27680290
-96,11495413;4,93774200;0,27680290
-96,03303413;4,93774200;0,32166510
-95,95111413;4,89196400;0,32166510
-95,86919413;4,93774200;0,32166510
-95,78727413;4,89196400;0,27680290
-95,70535414;4,93774200;0,32166510
-95,62343414;4,89196400;0,27680290
-95,54151414;4,93774200;0,32166510
-95,45959414;4,89196400;0,27680290
-95,37767414;4,93774200;0,32166510
-95,29575414;4,89196400;0,27680290
-95,21383414;4,89196400;0,27680290
-95,13191414;4,89196400;0,32166510
-95,04999414;4,89196400;0,32166510
-94,96807414;4,93774200;0,32166510
-94,88615414;4,93774200;0,32166510
-94,80423414;4,93774200;0,32166510
-94,72231414;4,89196400;0,27680290
-94,64039414;4,93774200;0,32166510
-94,55847414;4,89196400;0,32166510
-94,47655414;4,89196400;0,32166510
-94,39463414;4,89196400;0,27680290
-94,31271414;4,93774200;0,32166510
-94,23079414;4,93774200;0,27680290
-94,14887414;4,89196400;0,32166510
-94,06695415;4,89196400;0,32166510
-93,98503415;4,93774200;0,32166510
-93,90311415;4,93774200;0,32166510
-93,82119415;4,89196400;0,27680290
-93,73927415;4,93774200;0,32166510
-93,65735415;4,93774200;0,32166510
-93,57543415;4,93774200;0,32166510
-93,49351415;4,93774200;0,32166510
-93,41159415;4,93774200;0,27680290
-93,32967415;4,93774200;0,32166510
-93,24775415;4,93774200;0,32166510
-93,16583415;4,98352000;0,32166510
-93,08391415;4,93774200;0,32166510
-93,00199415;4,93774200;0,27680290
-92,92007415;4,93774200;0,32166510
-92,83815415;4,98352000;0,32166510
-92,75623415;4,93774200;0,32166510
-92,67431415;4,93774200;0,32166510
-92,59239415;4,98352000;0,32166510
-92,51047415;4,98352000;0,32166510
-92,42855416;4,98352000;0,32166510
-92,34663416;4,93774200;0,32166510
-92,26471416;4,93774200;0,32166510
-92,18279416;4,93774200;0,32166510
-92,10087416;4,93774200;0,27680290
-92,01895416;4,93774200;0,32166510
-91,93703416;4,93774200;0,32166510
-91,85511416;4,98352000;0,27680290
-91,77319416;4,93774200;0,32166510
-91,69127416;4,93774200;0,32166510
-91,60935416;4,93774200;0,27680290
-91,52743416;4,93774200;0,27680290
-91,44551416;4,93774200;0,32166510
-91,36359416;4,93774200;0,27680290
-91,28167416;4,93774200;0,32166510
-91,19975416;4,89196400;0,27680290
-91,11783416;4,93774200;0,32166510
-91,03591416;4,93774200;0,32166510
-90,95399416;4,93774200;0,32166510
-90,87207416;4,93774200;0,32166510
-90,79015417;4,93774200;0,32166510
-90,70823417;4,93774200;0,32166510
-90,62631417;4,89196400;0,27680290
-90,54439417;4,89196400;0,27680290
-90,46247417;4,89196400;0,32166510
-90,38055417;4,89196400;0,32166510
-90,29863417;4,89196400;0,27680290
-90,21671417;4,89196400;0,27680290
-90,13479417;4,89196400;0,32166510
-90,05287417;4,89196400;0,32166510
